#t   #theta   #omega   #xddot    #yddot
0.01 3.09155 -0.00766282 -0.644006 -9.79773
0.02 3.09144 -0.0153374 -0.645484 -9.79771
0.03 3.09125 -0.0230354 -0.647951 -9.79768
0.04 3.09098 -0.0307687 -0.65141 -9.79763
0.05 3.09063 -0.0385491 -0.655866 -9.79756
0.06 3.09021 -0.0463886 -0.661327 -9.79748
0.07 3.0897 -0.054299 -0.667799 -9.79739
0.08 3.08912 -0.0622926 -0.675294 -9.79727
0.09 3.08846 -0.0703816 -0.683822 -9.79715
0.1 3.08771 -0.0785783 -0.693397 -9.797
0.11 3.08689 -0.0868952 -0.704033 -9.79683
0.12 3.08597 -0.0953452 -0.715746 -9.79665
0.13 3.08498 -0.103941 -0.728554 -9.79644
0.14 3.0839 -0.112696 -0.742476 -9.79622
0.15 3.08272 -0.121624 -0.757534 -9.79596
0.16 3.08146 -0.130737 -0.773749 -9.79569
0.17 3.08011 -0.140051 -0.791148 -9.79539
0.18 3.07866 -0.149579 -0.809755 -9.79506
0.19 3.07712 -0.159336 -0.8296 -9.79469
0.2 3.07547 -0.169336 -0.850711 -9.7943
0.21 3.07373 -0.179596 -0.873121 -9.79387
0.22 3.07188 -0.19013 -0.896864 -9.7934
0.23 3.06993 -0.200955 -0.921976 -9.79289
0.24 3.06786 -0.212088 -0.948493 -9.79234
0.25 3.06568 -0.223544 -0.976456 -9.79174
0.26 3.06339 -0.235342 -1.00591 -9.79109
0.27 3.06097 -0.2475 -1.03689 -9.79039
0.28 3.05844 -0.260037 -1.06945 -9.78963
0.29 3.05577 -0.27297 -1.10364 -9.7888
0.3 3.05298 -0.28632 -1.1395 -9.7879
0.31 3.05004 -0.300108 -1.1771 -9.78693
0.32 3.04697 -0.314354 -1.21648 -9.78588
0.33 3.04376 -0.329079 -1.2577 -9.78474
0.34 3.04039 -0.344306 -1.30084 -9.78351
0.35 3.03687 -0.360059 -1.34594 -9.78218
0.36 3.03319 -0.376361 -1.39307 -9.78074
0.37 3.02934 -0.393236 -1.44231 -9.77918
0.38 3.02532 -0.41071 -1.49372 -9.7775
0.39 3.02112 -0.428809 -1.54738 -9.77567
0.4 3.01674 -0.447562 -1.60337 -9.7737
0.41 3.01217 -0.466994 -1.66176 -9.77157
0.42 3.0074 -0.487137 -1.72265 -9.76926
0.43 3.00242 -0.50802 -1.78611 -9.76677
0.44 2.99724 -0.529674 -1.85224 -9.76407
0.45 2.99183 -0.552132 -1.92112 -9.76116
0.46 2.98619 -0.575427 -1.99286 -9.75801
0.47 2.98032 -0.599593 -2.06755 -9.7546
0.48 2.9742 -0.624666 -2.14529 -9.75092
0.49 2.96782 -0.650684 -2.22619 -9.74693
0.5 2.96118 -0.677684 -2.31036 -9.74263
0.51 2.95426 -0.705706 -2.39791 -9.73798
0.52 2.94706 -0.734791 -2.48895 -9.73295
0.53 2.93956 -0.764981 -2.5836 -9.72752
0.54 2.93176 -0.79632 -2.68198 -9.72165
0.55 2.92363 -0.828853 -2.7842 -9.7153
0.56 2.91518 -0.862626 -2.89041 -9.70845
0.57 2.90638 -0.897688 -3.00071 -9.70104
0.58 2.89722 -0.934088 -3.11525 -9.69304
0.59 2.88769 -0.971878 -3.23415 -9.68439
0.6 2.87778 -1.01111 -3.35754 -9.67506
0.61 2.86746 -1.05184 -3.48556 -9.66498
0.62 2.85673 -1.09412 -3.61834 -9.65409
0.63 2.84557 -1.13801 -3.756 -9.64233
0.64 2.83397 -1.18357 -3.89868 -9.62964
0.65 2.8219 -1.23085 -4.04652 -9.61594
0.66 2.80934 -1.27993 -4.19963 -9.60115
0.67 2.79629 -1.33087 -4.35813 -9.5852
0.68 2.78272 -1.38372 -4.52215 -9.56798
0.69 2.76861 -1.43856 -4.69179 -9.54941
0.7 2.75394 -1.49545 -4.86716 -9.52937
0.71 2.7387 -1.55447 -5.04834 -9.50778
0.72 2.72285 -1.61567 -5.23543 -9.48449
0.73 2.70637 -1.67914 -5.42847 -9.4594
0.74 2.68926 -1.74495 -5.62753 -9.43236
0.75 2.67147 -1.81316 -5.83263 -9.40324
