#t   #theta   #omega   #xddot    #yddot
0.01 3.09155 -0.00766282 -0.682339 -9.79774
0.02 3.09144 -0.0153374 -0.683906 -9.79772
0.03 3.09125 -0.0230354 -0.68652 -9.7977
0.04 3.09098 -0.0307687 -0.690185 -9.79767
0.05 3.09063 -0.0385491 -0.694906 -9.79764
0.06 3.09021 -0.0463886 -0.700691 -9.79759
0.07 3.0897 -0.054299 -0.707549 -9.79753
0.08 3.08912 -0.0622926 -0.71549 -9.79747
0.09 3.08846 -0.0703816 -0.724526 -9.79739
0.1 3.08771 -0.0785783 -0.734671 -9.79731
0.11 3.08689 -0.0868952 -0.74594 -9.79721
0.12 3.08597 -0.0953452 -0.75835 -9.7971
0.13 3.08498 -0.103941 -0.77192 -9.79698
0.14 3.0839 -0.112696 -0.786671 -9.79685
0.15 3.08272 -0.121624 -0.802625 -9.7967
0.16 3.08146 -0.130737 -0.819806 -9.79654
0.17 3.08011 -0.140051 -0.83824 -9.79637
0.18 3.07866 -0.149579 -0.857955 -9.79617
0.19 3.07712 -0.159336 -0.87898 -9.79596
0.2 3.07547 -0.169336 -0.901349 -9.79573
0.21 3.07373 -0.179596 -0.925093 -9.79548
0.22 3.07188 -0.19013 -0.950249 -9.79521
0.23 3.06993 -0.200955 -0.976855 -9.79491
0.24 3.06786 -0.212088 -1.00495 -9.79459
0.25 3.06568 -0.223544 -1.03458 -9.79424
0.26 3.06339 -0.235342 -1.06578 -9.79386
0.27 3.06097 -0.2475 -1.09861 -9.79345
0.28 3.05844 -0.260037 -1.13311 -9.79301
0.29 3.05577 -0.27297 -1.16933 -9.79252
0.3 3.05298 -0.28632 -1.20733 -9.792
0.31 3.05004 -0.300108 -1.24716 -9.79144
0.32 3.04697 -0.314354 -1.28889 -9.79082
0.33 3.04376 -0.329079 -1.33257 -9.79016
0.34 3.04039 -0.344306 -1.37827 -9.78944
0.35 3.03687 -0.360059 -1.42605 -9.78867
0.36 3.03319 -0.376361 -1.47599 -9.78782
0.37 3.02934 -0.393236 -1.52816 -9.78692
0.38 3.02532 -0.41071 -1.58263 -9.78593
0.39 3.02112 -0.428809 -1.63949 -9.78487
0.4 3.01674 -0.447562 -1.69881 -9.78372
0.41 3.01217 -0.466994 -1.76068 -9.78247
0.42 3.0074 -0.487137 -1.82519 -9.78113
0.43 3.00242 -0.50802 -1.89243 -9.77967
0.44 2.99724 -0.529674 -1.96249 -9.7781
0.45 2.99183 -0.552132 -2.03547 -9.7764
0.46 2.98619 -0.575427 -2.11148 -9.77456
0.47 2.98032 -0.599593 -2.19062 -9.77257
0.48 2.9742 -0.624666 -2.27299 -9.77043
0.49 2.96782 -0.650684 -2.35871 -9.7681
0.5 2.96118 -0.677684 -2.44789 -9.76559
0.51 2.95426 -0.705706 -2.54064 -9.76288
0.52 2.94706 -0.734791 -2.6371 -9.75995
0.53 2.93956 -0.764981 -2.73739 -9.75678
0.54 2.93176 -0.79632 -2.84162 -9.75335
0.55 2.92363 -0.828853 -2.94993 -9.74965
0.56 2.91518 -0.862626 -3.06246 -9.74565
0.57 2.90638 -0.897688 -3.17933 -9.74133
0.58 2.89722 -0.934088 -3.30068 -9.73666
0.59 2.88769 -0.971878 -3.42666 -9.73162
0.6 2.87778 -1.01111 -3.5574 -9.72618
0.61 2.86746 -1.05184 -3.69303 -9.72029
0.62 2.85673 -1.09412 -3.83371 -9.71394
0.63 2.84557 -1.13801 -3.97957 -9.70709
0.64 2.83397 -1.18357 -4.13075 -9.69968
0.65 2.8219 -1.23085 -4.28738 -9.69169
0.66 2.80934 -1.27993 -4.4496 -9.68306
0.67 2.79629 -1.33087 -4.61754 -9.67376
0.68 2.78272 -1.38372 -4.79132 -9.66371
0.69 2.76861 -1.43856 -4.97106 -9.65288
0.7 2.75394 -1.49545 -5.15687 -9.64119
0.71 2.7387 -1.55447 -5.34884 -9.62859
0.72 2.72285 -1.61567 -5.54706 -9.61501
0.73 2.70637 -1.67914 -5.75159 -9.60037
0.74 2.68926 -1.74495 -5.9625 -9.5846
0.75 2.67147 -1.81316 -6.17981 -9.56761
0.76 2.65298 -1.88384 -6.40353 -9.54932
0.77 2.63378 -1.95708 -6.63365 -9.52963
0.78 2.61383 -2.03294 -6.8701 -9.50844
0.79 2.59311 -2.11149 -7.11281 -9.48565
0.8 2.5716 -2.1928 -7.36165 -9.46115
0.81 2.54925 -2.27694 -7.61644 -9.43483
0.82 2.52605 -2.36398 -7.87697 -9.40655
0.83 2.50196 -2.45397 -8.14295 -9.3762
0.84 2.47696 -2.54698 -8.41403 -9.34364
0.85 2.45101 -2.64307 -8.68979 -9.30873
0.86 2.42409 -2.74228 -8.96975 -9.27133
0.87 2.39615 -2.84465 -9.25332 -9.2313
0.88 2.36718 -2.95023 -9.53981 -9.18847
0.89 2.33714 -3.05904 -9.82843 -9.1427
0.9 2.30599 -3.17109 -10.1183 -9.09383
0.91 2.27371 -3.28641 -10.4084 -9.0417
0.92 2.24025 -3.40499 -10.6975 -8.98616
0.93 2.20559 -3.5268 -10.9844 -8.92706
0.94 2.1697 -3.65182 -11.2677 -8.86424
0.95 2.13255 -3.77999 -11.5456 -8.79756
0.96 2.09409 -3.91124 -11.8164 -8.72689
0.97 2.05431 -4.04549 -12.0782 -8.65212
0.98 2.01318 -4.18262 -12.3288 -8.57314
0.99 1.97065 -4.32249 -12.5659 -8.48987
