#t   #theta   #omega   #xddot    #yddot
0.01 3.09155 -0.00766282 -0.736006 -9.79774
0.02 3.09144 -0.0153374 -0.737696 -9.79774
0.03 3.09125 -0.0230354 -0.740516 -9.79774
0.04 3.09098 -0.0307687 -0.744469 -9.79774
0.05 3.09063 -0.0385491 -0.749562 -9.79774
0.06 3.09021 -0.0463886 -0.755802 -9.79774
0.07 3.0897 -0.054299 -0.763199 -9.79774
0.08 3.08912 -0.0622926 -0.771765 -9.79774
0.09 3.08846 -0.0703816 -0.781511 -9.79774
0.1 3.08771 -0.0785783 -0.792454 -9.79774
0.11 3.08689 -0.0868952 -0.804609 -9.79774
0.12 3.08597 -0.0953452 -0.817995 -9.79774
0.13 3.08498 -0.103941 -0.832633 -9.79774
0.14 3.0839 -0.112696 -0.848544 -9.79774
0.15 3.08272 -0.121624 -0.865753 -9.79774
0.16 3.08146 -0.130737 -0.884285 -9.79774
0.17 3.08011 -0.140051 -0.904169 -9.79774
0.18 3.07866 -0.149579 -0.925434 -9.79774
0.19 3.07712 -0.159336 -0.948114 -9.79774
0.2 3.07547 -0.169336 -0.972241 -9.79774
0.21 3.07373 -0.179596 -0.997853 -9.79774
0.22 3.07188 -0.19013 -1.02499 -9.79774
0.23 3.06993 -0.200955 -1.05369 -9.79774
0.24 3.06786 -0.212088 -1.08399 -9.79774
0.25 3.06568 -0.223544 -1.11595 -9.79774
0.26 3.06339 -0.235342 -1.14961 -9.79774
0.27 3.06097 -0.2475 -1.18502 -9.79774
0.28 3.05844 -0.260037 -1.22223 -9.79774
0.29 3.05577 -0.27297 -1.2613 -9.79774
0.3 3.05298 -0.28632 -1.30229 -9.79774
0.31 3.05004 -0.300108 -1.34525 -9.79774
0.32 3.04697 -0.314354 -1.39026 -9.79774
0.33 3.04376 -0.329079 -1.43738 -9.79774
0.34 3.04039 -0.344306 -1.48667 -9.79774
0.35 3.03687 -0.360059 -1.53821 -9.79774
0.36 3.03319 -0.376361 -1.59208 -9.79774
0.37 3.02934 -0.393236 -1.64835 -9.79774
0.38 3.02532 -0.41071 -1.70711 -9.79774
0.39 3.02112 -0.428809 -1.76844 -9.79774
0.4 3.01674 -0.447562 -1.83242 -9.79774
0.41 3.01217 -0.466994 -1.89916 -9.79774
0.42 3.0074 -0.487137 -1.96874 -9.79774
0.43 3.00242 -0.50802 -2.04127 -9.79774
0.44 2.99724 -0.529674 -2.11684 -9.79774
0.45 2.99183 -0.552132 -2.19557 -9.79774
0.46 2.98619 -0.575427 -2.27755 -9.79774
0.47 2.98032 -0.599593 -2.36291 -9.79774
0.48 2.9742 -0.624666 -2.45176 -9.79774
0.49 2.96782 -0.650684 -2.54422 -9.79774
0.5 2.96118 -0.677684 -2.64042 -9.79774
0.51 2.95426 -0.705706 -2.74047 -9.79774
0.52 2.94706 -0.734791 -2.84452 -9.79774
0.53 2.93956 -0.764981 -2.95269 -9.79774
0.54 2.93176 -0.79632 -3.06512 -9.79774
0.55 2.92363 -0.828853 -3.18195 -9.79774
0.56 2.91518 -0.862626 -3.30332 -9.79774
0.57 2.90638 -0.897688 -3.42939 -9.79774
0.58 2.89722 -0.934088 -3.56029 -9.79774
0.59 2.88769 -0.971878 -3.69617 -9.79774
0.6 2.87778 -1.01111 -3.83719 -9.79774
0.61 2.86746 -1.05184 -3.9835 -9.79774
0.62 2.85673 -1.09412 -4.13524 -9.79774
0.63 2.84557 -1.13801 -4.29257 -9.79774
0.64 2.83397 -1.18357 -4.45564 -9.79774
0.65 2.8219 -1.23085 -4.62459 -9.79774
0.66 2.80934 -1.27993 -4.79957 -9.79774
0.67 2.79629 -1.33087 -4.98072 -9.79774
0.68 2.78272 -1.38372 -5.16817 -9.79774
0.69 2.76861 -1.43856 -5.36205 -9.79774
0.7 2.75394 -1.49545 -5.56247 -9.79774
0.71 2.7387 -1.55447 -5.76954 -9.79774
0.72 2.72285 -1.61567 -5.98334 -9.79774
0.73 2.70637 -1.67914 -6.20397 -9.79774
0.74 2.68926 -1.74495 -6.43146 -9.79774
0.75 2.67147 -1.81316 -6.66587 -9.79774
0.76 2.65298 -1.88384 -6.90718 -9.79774
0.77 2.63378 -1.95708 -7.15539 -9.79774
0.78 2.61383 -2.03294 -7.41045 -9.79774
0.79 2.59311 -2.11149 -7.67225 -9.79774
0.8 2.5716 -2.1928 -7.94065 -9.79774
0.81 2.54925 -2.27694 -8.21549 -9.79774
0.82 2.52605 -2.36398 -8.49651 -9.79774
0.83 2.50196 -2.45397 -8.7834 -9.79774
0.84 2.47696 -2.54698 -9.0758 -9.79774
0.85 2.45101 -2.64307 -9.37326 -9.79774
0.86 2.42409 -2.74228 -9.67524 -9.79774
0.87 2.39615 -2.84465 -9.98111 -9.79774
0.88 2.36718 -2.95023 -10.2901 -9.79774
0.89 2.33714 -3.05904 -10.6015 -9.79774
0.9 2.30599 -3.17109 -10.9141 -9.79774
0.91 2.27371 -3.28641 -11.227 -9.79774
0.92 2.24025 -3.40499 -11.5389 -9.79774
0.93 2.20559 -3.5268 -11.8484 -9.79774
0.94 2.1697 -3.65182 -12.1539 -9.79774
0.95 2.13255 -3.77999 -12.4536 -9.79774
0.96 2.09409 -3.91124 -12.7458 -9.79774
0.97 2.05431 -4.04549 -13.0282 -9.79774
0.98 2.01318 -4.18262 -13.2985 -9.79774
0.99 1.97065 -4.32249 -13.5542 -9.79774
1 1.92672 -4.46494 -13.7928 -9.79774
1.01 1.88135 -4.60977 -14.0111 -9.79774
1.02 1.83451 -4.75676 -14.2063 -9.79774
1.03 1.7862 -4.90564 -14.3749 -9.79774
1.04 1.7364 -5.05613 -14.5137 -9.79774
1.05 1.68508 -5.20789 -14.619 -9.79774
1.06 1.63224 -5.36056 -14.6872 -9.79774
1.07 1.57786 -5.51374 -14.7146 -9.79774
1.08 1.52196 -5.66696 -14.6975 -9.79774
1.09 1.46453 -5.81976 -14.632 -9.79774
1.1 1.40557 -5.97162 -14.5146 -9.79774
1.11 1.3451 -6.12196 -14.3418 -9.79774
1.12 1.28314 -6.2702 -14.1104 -9.79774
1.13 1.2197 -6.41571 -13.8173 -9.79774
1.14 1.15483 -6.55784 -13.4602 -9.79774
1.15 1.08856 -6.6959 -13.0369 -9.79774
1.16 1.02093 -6.82921 -12.5459 -9.79774
1.17 0.951995 -6.95704 -11.9865 -9.79774
1.18 0.881811 -7.07869 -11.3584 -9.79774
1.19 0.810444 -7.19344 -10.6624 -9.79774
1.2 0.737967 -7.30059 -9.90004 -9.79774
1.21 0.66446 -7.39946 -9.07377 -9.79774
1.22 0.590008 -7.48941 -8.18695 -9.79774
