#t   #theta   #omega   #xddot    #yddot
0.01 3.09155 -0.00766282 -0.874008 -9.79775
0.02 3.09144 -0.0153374 -0.876014 -9.79778
0.03 3.09125 -0.0230354 -0.879362 -9.79784
0.04 3.09098 -0.0307687 -0.884057 -9.79791
0.05 3.09063 -0.0385491 -0.890104 -9.79801
0.06 3.09021 -0.0463886 -0.897515 -9.79813
0.07 3.0897 -0.054299 -0.906299 -9.79827
0.08 3.08912 -0.0622926 -0.916471 -9.79844
0.09 3.08846 -0.0703816 -0.928045 -9.79863
0.1 3.08771 -0.0785783 -0.941039 -9.79885
0.11 3.08689 -0.0868952 -0.955473 -9.7991
0.12 3.08597 -0.0953452 -0.97137 -9.79938
0.13 3.08498 -0.103941 -0.988752 -9.79968
0.14 3.0839 -0.112696 -1.00765 -9.80003
0.15 3.08272 -0.121624 -1.02808 -9.8004
0.16 3.08146 -0.130737 -1.05009 -9.80082
0.17 3.08011 -0.140051 -1.0737 -9.80127
0.18 3.07866 -0.149579 -1.09895 -9.80177
0.19 3.07712 -0.159336 -1.12589 -9.80231
0.2 3.07547 -0.169336 -1.15454 -9.8029
0.21 3.07373 -0.179596 -1.18495 -9.80355
0.22 3.07188 -0.19013 -1.21717 -9.80425
0.23 3.06993 -0.200955 -1.25125 -9.80501
0.24 3.06786 -0.212088 -1.28724 -9.80584
0.25 3.06568 -0.223544 -1.32519 -9.80674
0.26 3.06339 -0.235342 -1.36516 -9.80771
0.27 3.06097 -0.2475 -1.40721 -9.80877
0.28 3.05844 -0.260037 -1.4514 -9.80991
0.29 3.05577 -0.27297 -1.49779 -9.81115
0.3 3.05298 -0.28632 -1.54647 -9.8125
0.31 3.05004 -0.300108 -1.59749 -9.81395
0.32 3.04697 -0.314354 -1.65094 -9.81553
0.33 3.04376 -0.329079 -1.70689 -9.81723
0.34 3.04039 -0.344306 -1.76542 -9.81908
0.35 3.03687 -0.360059 -1.82663 -9.82108
0.36 3.03319 -0.376361 -1.8906 -9.82324
0.37 3.02934 -0.393236 -1.95742 -9.82557
0.38 3.02532 -0.41071 -2.02719 -9.8281
0.39 3.02112 -0.428809 -2.10002 -9.83084
0.4 3.01674 -0.447562 -2.176 -9.8338
0.41 3.01217 -0.466994 -2.25525 -9.837
0.42 3.0074 -0.487137 -2.33788 -9.84045
0.43 3.00242 -0.50802 -2.42401 -9.8442
0.44 2.99724 -0.529674 -2.51375 -9.84824
0.45 2.99183 -0.552132 -2.60724 -9.85261
0.46 2.98619 -0.575427 -2.70459 -9.85734
0.47 2.98032 -0.599593 -2.80596 -9.86245
0.48 2.9742 -0.624666 -2.91147 -9.86798
0.49 2.96782 -0.650684 -3.02126 -9.87395
0.5 2.96118 -0.677684 -3.13549 -9.88041
0.51 2.95426 -0.705706 -3.25431 -9.88738
0.52 2.94706 -0.734791 -3.37786 -9.89493
0.53 2.93956 -0.764981 -3.50631 -9.90308
0.54 2.93176 -0.79632 -3.63983 -9.91188
0.55 2.92363 -0.828853 -3.77856 -9.9214
0.56 2.91518 -0.862626 -3.9227 -9.93168
0.57 2.90638 -0.897688 -4.0724 -9.94279
0.58 2.89722 -0.934088 -4.22784 -9.95479
0.59 2.88769 -0.971878 -4.38921 -9.96776
0.6 2.87778 -1.01111 -4.55667 -9.98176
0.61 2.86746 -1.05184 -4.7304 -9.99689
0.62 2.85673 -1.09412 -4.9106 -10.0132
0.63 2.84557 -1.13801 -5.09743 -10.0309
0.64 2.83397 -1.18357 -5.29107 -10.0499
0.65 2.8219 -1.23085 -5.4917 -10.0704
0.66 2.80934 -1.27993 -5.69949 -10.0926
0.67 2.79629 -1.33087 -5.91461 -10.1166
0.68 2.78272 -1.38372 -6.1372 -10.1424
0.69 2.76861 -1.43856 -6.36743 -10.1702
0.7 2.75394 -1.49545 -6.60543 -10.2003
0.71 2.7387 -1.55447 -6.85132 -10.2327
0.72 2.72285 -1.61567 -7.10522 -10.2676
0.73 2.70637 -1.67914 -7.36721 -10.3053
0.74 2.68926 -1.74495 -7.63736 -10.3458
0.75 2.67147 -1.81316 -7.91572 -10.3895
0.76 2.65298 -1.88384 -8.20228 -10.4365
0.77 2.63378 -1.95708 -8.49703 -10.4872
0.78 2.61383 -2.03294 -8.79991 -10.5417
0.79 2.59311 -2.11149 -9.11079 -10.6002
0.8 2.5716 -2.1928 -9.42953 -10.6632
0.81 2.54925 -2.27694 -9.75589 -10.7309
0.82 2.52605 -2.36398 -10.0896 -10.8036
0.83 2.50196 -2.45397 -10.4303 -10.8817
0.84 2.47696 -2.54698 -10.7775 -10.9654
0.85 2.45101 -2.64307 -11.1307 -11.0552
0.86 2.42409 -2.74228 -11.4893 -11.1514
0.87 2.39615 -2.84465 -11.8526 -11.2543
0.88 2.36718 -2.95023 -12.2195 -11.3644
0.89 2.33714 -3.05904 -12.5892 -11.4821
0.9 2.30599 -3.17109 -12.9605 -11.6078
0.91 2.27371 -3.28641 -13.3321 -11.7418
0.92 2.24025 -3.40499 -13.7025 -11.8846
0.93 2.20559 -3.5268 -14.07 -12.0366
0.94 2.1697 -3.65182 -14.4327 -12.1982
0.95 2.13255 -3.77999 -14.7887 -12.3696
0.96 2.09409 -3.91124 -15.1356 -12.5513
