Copyright Central Council of Church Bell Ringers, December 2011
Alliance Doubles methods (treble dodging in 4-5)

No.	Name	Notation	hl	le	lh	RW ref

15855	Durnford	3.1.125.123.3.123.	5	125	p	95/1308
15856	Fovant	3.1.125.3.123.3.	5	125	p	95/1308
15857	Liddington	3.1.5.123.3.123.	5	125	p	95/1308 96/111
15858	Bedfont	3.1.5.3.1.3.	5	125	q	
15859	Ampney Crucis	3.1.5.3.123.3.	5	125	p	95/1273
15860	Boynton	3.145.125.123.3.123.	5	125	p	95/1308
15861	Mentmore	3.145.125.3.1.3.	5	125	q	
15862	Burbage	3.145.125.3.123.3.	5	125	p	95/1308
15863	Chitterne	3.145.5.123.3.123.	5	125	p	95/1308
15864	Cricklade	3.145.5.3.123.3.	5	125	p	95/1273
15865	Alderton	345.1.125.123.3.123.	5	125	p	95/1308
15866	Claydon	345.1.125.3.1.3.	5	125	q	
15867	All Cannings	345.1.125.3.123.3.	5	125	p	95/1308
15868	Zeals	345.1.5.123.3.123.	5	125	p	95/1308
15869	Latton	345.1.5.3.123.3.	5	125	p	95/1273
15870	Sedgehill	5.1.125.123.3.123.	5	125	q	95/1308
15871	Tyringham	5.1.125.3.1.3.	5	125	p	
15872	Shalbourne	5.1.125.3.123.3.	5	125	q	95/1308
15873	Sutton Benger	5.1.5.123.3.123.	5	125	q	95/1308
15874	Ashton Keynes	5.1.5.3.123.3.	5	125	q	95/1273

Alliance Doubles methods (treble double dodging in 4-5)

No.	Name	Notation	hl	le	lh	RW ref

15875	Staines	3.1.125.3.1.3.1.3.	5	125	q	60/604
15876	Shepperton	3.1.5.1.3.1.3.1.	5	125	p	58/755
15877	Chalvey	3.145.5.1.3.1.3.1.	5	125	p	58/755
15878	Quainton	3.145.5.3.1.3.1.3.	5	125	q	60/604
15879	Barkham	345.1.125.3.1.3.1.3.	125	1	s	59/215
15880	Horton	345.1.5.1.3.1.3.1.	5	125	p	58/755
15881	Langley	345.1.5.3.1.3.1.3.	125	1	13452	59/215
15882	Lavendon	345.1.5.3.1.3.1.3.	5	125	q	60/604
15883	Dorney	5.1.125.3.1.3.1.3.	125	1	s	59/215
15884	Perivale	5.1.5.1.3.1.3.1.	125	1	15234	59/215
15885	Bisham	5.1.5.1.3.1.3.1.	345	1	13452	59/215
15886	Astleham	5.1.5.1.3.1.3.1.	5	125	q	58/755
15887	Amersham	5.1.5.3.1.3.1.3.	5	125	p	59/215

Twin-hunt Alliance Doubles methods (b) (treble double dodging in 4-5)

No.	Name	Notation	hl	le	lh	RW ref

15888	Taplow	3.1.5.1.3.1.3.1.	125	125	12534	59/266
15889	Thorpe	3.145.5.1.3.1.3.1.	125	125	12534	59/266
15890	Moreton	3.145.5.1.3.1.3.1.	345	125	13425	59/266
15891	Hinksey	345.1.5.1.3.1.3.1.	125	125	12534	59/266
15892	Bledlow	345.1.5.1.3.1.3.1.	345	125	13425	59/266
15893	Coulsdon	345.1.5.3.1.3.1.3.	125	125	14235	59/215
15894	Lockinge	5.1.5.1.3.1.3.1.	125	125	12453	59/215
15895	Marsworth	5.1.5.1.3.1.3.1.	345	125	14235	59/215
