Copyright Central Council of Church Bell Ringers, December 2011
Alliance Minor methods (treble dodging in 1-2)

No.	Name	Notation	hl	le	lh	RW ref

15896	Liden	34-34.16-1236-	36	16	l	76/1072
15897	Eldene	34-34.16-1236-	56	16	134625	76/1072
15898	Darrington	34-34.16-36-	36	12	f	61/393
15899	Thrybergh	34-34.16-36-	36	16	l	61/393
15900	Covingham	34-34.16-36-	56	16	134625	76/1072
15901	Adwick	34-34.16-36.12.	36	16	l	61/393
15902	Dorcan	34-34.16-36.12.	56	16	134625	76/1072
15903	Severn	34-36.14-1236-	56	12	142563	77/87
15904	Thames	34-36.14-36-	56	12	142563	77/87
15905	Avon	34-36.14-36.12.	56	12	142563	77/87

Alliance Minor methods (treble dodging in 3-4)

No.	Name	Notation	hl	le	lh	RW ref

15906	Coate	-16-12-1236-	36	12	f	93/1108
15907	Ferris	-16.12-12.16-	16	12	a	77/8

Alliance Minor methods (treble dodging in 5-6)

No.	Name	Notation	hl	le	lh	RW ref

15908	Great Somerford	-14-1236-12-	16	12	e	73/1007
15909	Preshute	-14-1236-12-	36	12	142563	66/467
15910	Beckford	-14-1236-12-	56	12	f	63/588
15911	Marlborough	-14-1236-12-	56	16	l	65/483
15912	Lyddington	-14-1236-12.1234.	56	12	f	02/294
15913	Heslington	-14-1236-14-	16	12	a	71/313
15914	Exton	-14-1236-14-	36	12	165324	79/430
15915	Winchcombe	-14-1236-34-	56	12	f	63/588
15916	Mildenhall	-14-1236-34-	56	16	l	65/483
15917	Whissendine	-14-1236-34.1234.	56	12	f	02/294
15918	Belton-in-Rutland	-14-1236.12-12.	56	12	f	02/294
15919	Empingham	-14-1236.12-34.	56	12	f	02/294
15920	Glaston	-14-1236.1234.12-	56	12	f	02/294
15921	Langham	-14-1236.34-12.	56	12	f	02/294
15922	Ashwell	-14-1236.34-34.	56	12	f	02/294
15923	Dennington	-14-16-12-	56	16	146532	66/467
15924	Yaxley	-14-16-14-	16	12	a	
15925	Harmondsworth	-14-16-14-	56	12	f	
15926	Wordsley	-14-16-14-	56	16	l	
15927	Clyst	-14-16-34-	36	16	m	
15928	Bredfield	-14-16-34-	56	16	146532	66/467
15929	Lavington	-14-16.34-12.	36	16	m	
15930	Milton	-14-16.34-12.	56	16	146532	93/916
15931	Shenfield	-14-16.34-14.	36	12	b	
15932	Albury	-14-16.34-14.	36	16	g	
15933	Cotgrave	-14-16.34-34.	16	12	b	
15934	Weston	-14-16.34-34.	16	16	g	
15935	Cavendish	-14-16.34-34.	56	16	146532	66/467
15936	Kennet	-14-36-12-	36	12	142563	66/467
15937	Sharnbrook	-14-36-12-	56	12	f	
15938	Stratton	-14-36-12-	56	16	l	
15939	Perivale	-14-36-14-	36	12	b	29/148
15940	Alperton	-14-36-14-	36	16	g	
15941	Hayes	-14-36-34-	56	12	f	
15942	Stanhoe	-14-36-34-	56	16	l	
15943	Overton	-14-36.12-12.	36	12	142563	66/467
15944	Ringstead	-14-36.12-12.	56	12	f	
15945	Mitcham	-14-36.12-12.	56	16	l	
15946	Norwood	-14-36.12-14.	36	16	m	
15947	Hampstead	-14-36.12-34.	16	16	m	
15948	Stonehouse	-14-36.12-34.	56	12	f	
15949	Blaxhall	-14-36.12-34.	56	16	l	
15950	Bramfield	-14-36.14-14.	56	12	f	
15951	Lamberhurst	-14-36.14-14.	56	16	l	
15952	Bozeat	-14-36.34-12.	56	12	f	09/178
15953	Ramsbury	-16-1236-12-	36	12	f	65/563
15954	Minchinhampton	-16-1236-12-	36	16	l	62/767
15955	Barnard	-16-1236-34-	36	12	142563	04/131
15956	Walsingham	-16-16-12-	56	12	b	
15957	Cromer	-16-16-12-	56	16	g	
15958	Thurlby	-16-16-12.1234.	56	12	b	02/110
15959	Harlington	-16-16-14-	36	16	m	28/745
15960	Lammas	-16-16-34-	56	12	b	
15961	Steventon	-16-16-34-	56	16	g	
15962	Folkingham	-16-16.12-12.	56	12	b	03/81
15963	Renhold	-16-16.1234.14-	36	12	f	01/782
15964	Fulmer	-16-16.34-12.	56	12	b	
15965	Chalfont	-16-16.34-12.	56	16	g	
15966	Winterton	-16-16.34-14.	36	12	a	
15967	Attleborough	-16-16.34-34.	16	12	a	
15968	Olney	-16-16.34-34.	56	12	b	
15969	Tibenham	-16-16.34-34.	56	16	g	
