Copyright Central Council of Church Bell Ringers, December 2011
Delight Royal methods

No.	Name	Notation	hl	le	lh	fch	Tower bells	Place	Handbells	RW ref

15000	Old Trafford	-34-14-12-10-12-1250-14-50-14-	50	10	l	cps/BDc	1993-05-31	Wilton		93/626
15001	Woodbine	-34-14-12-10-12-10-12-10-12-	10	10	1523749608		1986-02-09	Chesterfield	1981-11-04	81/1062 86/221
15002	Bishopstoke	-34-14-12-10-34-1250-16-70-16-	70	10	k1	cps/BDa2c	2000-02-15	Bishopstoke		00/223
15003	Osterley	-34-14-12-10-34-10-34-10-34-	10	10	m	cps/BDa2	1979-04-25	Isleworth		79/703
15004	Octavian	-34-14-12-10-78-58-56-10-78-	90	10	k1	cps/BDa	1997-02-23	Reading, St Laurence		97/316
15005	Braintree	-34-14-12-10.34-34.10.34-34.10.34-34.	10	10	h	cps/BDa2	1999-01-01	Braintree	1985-04-02	85/395 99/119
15006	Quimper	-34-14-12-10.34-34.10.56-56.10.78-78.	10	10	h	cps/BDa			2010-03-24	10/344
15007	Rotorua	-34-14.56-56.10-12-10-12-10-12-	10	10	g	cps/Da			2010-12-13	11/38
15008	Soave	-34-14.50.12-10-14-50.14-14.50.14-14.	50	12	a	T/BDc	Spliced			09/709
15009	Bolton	-34-1450-12-36-34-10-14-1470-58-	70	12	f	cps/BDcd	1981-09-27	Bolton, St Peter		81/930
15010	College Youths Pleasure	-34-10-12-10-14-30-14-30-14-	30	10	1346285079		1972-02-13	Daventry		72/201
15011	Darton Exercise	-34-10-12-30-14-50-16-70-18-	90	12	1547920386		2006-11-19	Bristol, St Stephen		07/144
15012	Fulford	-34-10-1256-16-14-50.14-14.50.14-14.	50	12	1362485079		Spliced			09/331
15013	Dogger	-34-10-56-16-14-50.14-14.50-14-	50	10	l	cps/Dc	2007-10-18	Burnley		07/1122
15014	Newbury	-36-14-50-16-34-10-36-30-36-	30	12	f	cps/EOa2	1987-11-27	Thatcham		87/1143
15015	Vulkan	-30-14-12-1230-12-10-12-10-12-	10	10	m	cps/BDa			2007-07-02	07/741
15016	Subfusc	-30-14-12-16-14-10.34.16-1450-78-	90	12	c1	cps/BDd	2008-05-31	Oxford, St Mary Magdalen		08/674
15017	Stranton	-30-14-12-16-34-50-14-10-12-	90	12	c1	cps/BDc	2008-01-19	Exeter, St Mark		08/189
15018	Black Cat	-30-14-12-16-34-50-14-10-18-	70	12	b	cps/BDc	2005-05-06	Worsley		05/598
15019	Trafalgar	-30-14-12-10-12-1458-56-70-14.78.	10	12	d1	cps/BDc	2009-02-08	Burnley		09/203
15020	Malin	-30-14-12-10-12-1458-56.14.70.1456-16.	90	12	c1	cps/BDc	2009-12-06	Burnley		10/11
15021	Authorpe	-30-14-12-10-12-50.14-16.70.18-78.	90	12	b	cps/BDc	2006-09-26	Saltby		06/983
15022	Exhibition Square	-30-14-12-10-12.70.58.14-16.70-16.78.	10	12	e	BD/BDc	Spliced			03/297
15023	Derwent	-30-14-12-10-14-10-12-10-12-	90	12	b	cps/BDd	1988-12-02	Thatcham	2011-01-12	89/82 11/110
15024	Glas Tulaichean	-30-14-12-10-14-10-12-10-1234-	90	12	b	BD/BDd	2011-03-31	Thorverton		11/389
15025	Ventongimps	-30-14-12-10-14-10-12-10-1278-	90	12	b	cps/BDd	2011-07-14	Thorverton		11/798
15026	A'Chailleach	-30-14-12-10-14-10-12-10-34-	90	12	b	cps/BDa2d	2009-11-26	Thorverton		09/1269
15027	Schiehallion	-30-14-12-10-14-10-12-10-3456-	90	12	b	cps/BDd	2010-05-13	Thorverton		10/569
15028	Pilton	-30-14-12-10-14-10-12-10-56-	90	12	b	cps/BDa1d	2008-07-31	Thorverton		08/889
15029	Sgor Gaoith	-30-14-12-10-14-10-12-10-5678-	90	12	b	BD/BDd	2009-02-05	Thorverton		09/202
15030	Ecclefechan	-30-14-12-10-14-10-12-10-78-	90	12	b	cps/BDd	2008-09-11	Thorverton		08/1064
15031	Nordfeld	-30-14-12-10-14-10-12-10.56.12.56.	90	12	b	cps/BDd	2008-05-10	Northfield		08/595
15032	Saga	-30-14-12-10-14-10-12-10.58-58.	90	12	b	cps/BDEd	2005-02-22	Saltby		05/234
15033	Chicxulub	-30-14-12-10-14-10-12-10.78-78.	10	12	a	cps/BDd			2011-03-14	11/315
15034	Faerie	-30-14-12-10-14-10-16-1470.38.16-	90	12	b	cps/BDd	1992-11-27	Thatcham		93/126
15035	Beult	-30-14-12-10-14-10.56.12.56.10-12-	90	12	b	cps/BDd	2008-09-09	Maidstone, All Saints		08/1037
15036	Eleventh Hour	-30-14-12-10-14-10.56.12.56.10.56.12.56.	90	12	b	cps/BDd	2008-11-11	Maidstone, All Saints		08/1257
15037	Quinag	-30-14-12-10-14-30-14-1230-12-	90	12	b	cps/BDd	2011-02-24	Thorverton		11/257
15038	Easter Day	-30-14-12-10-14-30-14-1230-12.34.	90	12	b	BD/BDd	2011-04-24	Chilcompton		11/513
15039	Upton Pyne	-30-14-12-10-14-30-14-1230-1278-	90	12	b	cps/BDd	2007-07-25	Thorverton		07/934
15040	Panlydd	-30-14-12-10-14-30-14-1230-78-	90	12	b	cps/BDd	2010-07-22	Thorverton		10/816
15041	Mansley Cliff	-30-14-12-10-14-30-14-1230.78.12-	90	12	b	cps/BDd	2011-06-09	St Marychurch		11/677
15042	Quither	-30-14-12-10-14-30-14-30-1278-	90	12	b	cps/BDd	2007-04-09	Thorverton		07/470
15043	Elthorne	-30-14-12-10-14-30-14-30-78-	90	12	b	cps/BDd	1967-02-25	Hillingdon		67/189
15044	Vinehall	-30-14-12-10-14-50-16-10-56-	90	12	b	cps/BDa1d	2006-01-24	Saltby		06/130
15045	Dunham Massey	-30-14-12-10-14-50-16-10-78-	90	12	b	cps/BDd	1999-05-22	Dunham Massey		99/603
