Copyright Central Council of Church Bell Ringers, December 2011
Delight Minor methods

No.	Name	Notation	hl	le	lh	Tower bells	Place	Handbells	RW ref

12690	Merchants' Return	-34-14-12-16-12-	16	14	152643	1974-09-20	East Woodhay		65/483 74/861
12691	Woodbine	-34-14-12-16-12-	16	16	152364	1928-10-06	Wollaston (Northants)		28/661 55/573
12692	Ashbocking	-34-14-12-16-12-	36	12	142563	1996-02-23	Ashbocking		66/380 96/302
12693	High Hoyland	-34-14-12-16-12-	36	14	154263				62/395
12694	Old Oxford	-34-14-12-16-12-	56	12	f	1955-12-01	Ockbrook	2006-05-04	55/790 06/502
12695	Lyre of Airedale	-34-14-12-16-12-	56	14	164235				91/29
12696	Neasden	-34-14-12-16-12-	56	16	l	1959-01-01	Southill		V1/633 59/70
12697	Tonne	-34-14-12-16-12.1234.	56	12	f	2000-10-28	Moreton Pinkney		00/1161
12698	Kenworthy	-34-14-12-16-12.1234.	56	16	l				11/705
12699	Cavendish	-34-14-12-16-14-	16	14	145362				V5/99
12700	Bedford	-34-14-12-16-14-	36	12	b	1951-09-27	Old Warden		V8/148 51/661
12701	Golcar	-34-14-12-16-14-	36	14	135642				
12702	Merton	-34-14-12-16-14-	36	16	g	1992-05-23	Radlett		V8/148 92/599
12703	Paddock	-34-14-12-16-14-	56	12	136245				55/573
12704	Bunions Been'n'Gone	-34-14-12-16-14.1234.	56	12	136245				11/212
12705	Tanner's Pleasure	-34-14-12-16-34-	36	16	134625				55/573
12706	College Bob IV	-34-14-12-16-34-	56	12	f	1961-04-27	Packington	1963-04-10	61/329 63/316
12707	PowerGen	-34-14-12-16-34-	56	14	164235				99/976
12708	St Albans	-34-14-12-16-34-	56	16	l	1956-04-14	Anstey (Herts)		56/277
12709	Grumpy	-34-14-12-16-34.1234.	56	12	f				01/1047
12710	England expects that every man will do his duty	-34-14-12-16-34.1234.	56	14	164235				05/1022
12711	Crystal Casket	-34-14-12-16-34.1234.	56	16	l				
12712	Flopper's Fantasy	-34-14-12-16.12-12.	16	12	e				03/1123
12713	Yeah, But, No, But, Yeah, But,	-34-14-12-16.12-12.	16	16	h				05/216
12714	Handsome Prince	-34-14-12-16.12-12.	36	12	142563				03/1076
12715	Ismail	-34-14-12-16.12-12.	36	14	154263				04/478
12716	Happy	-34-14-12-16.12-12.	56	12	f	2011-10-05	Nunburnholme		01/1047 11/1138
12717	Tiny	-34-14-12-16.12-12.	56	14	164235				06/511
12718	Laura Ivey	-34-14-12-16.12-12.	56	16	l				11/13
12719	Snow White	-34-14-12-16.12-34.	16	16	m				03/496
12720	Flitton	-34-14-12-16.12-34.	36	16	134625				05/140
12721	Bashful	-34-14-12-16.12-34.	56	12	f				01/1047
12722	Computer Says No	-34-14-12-16.12-34.	56	14	164235				05/216
