Copyright Central Council of Church Bell Ringers, December 2011
Delight Major methods

No.	Name	Notation	hl	le	lh	fch	Tower bells	Place	Handbells	RW ref

13736	Caterham Hill	-34-14-12-16-14-18.36.14-	38	18	m	BDK/c	1998-10-11	Uxbridge, St Margaret-of-Antioch		98/1109
13737	Brightstowe	-34-14-12-18-12-1258-12-	58	12	f	BD	2010-11-30	Shepton Beauchamp		10/1257
13738	Merchants' Return	-34-14-12-18-12-18-12-	18	14	15278364		1859-03-19	Glossop		
13739	Woodbine	-34-14-12-18-12-18-12-	18	18	15237486		1877-02-24	Denholme Gate	1978-10-24	78/1052
13740	Barkers	-34-14-12-18-12-18-16-	18	12	a	BDN	1976-11-23	Highclere		77/9
13741	Canal Street	-34-14-12-18-12-38-14-	78	18	j	BD/c	2007-12-22	Clitheroe		08/62
13742	Christmas Steps	-34-14-12-18-12-38-1456-	78	18	j	BD	2010-12-19	Barrow Gurney		11/34
13743	Great Shunner Fell	-34-14-12-18-12-38.14.56-	18	18	k	BD	2005-02-08	Dore		05/184
13744	Yorkshire	-34-14-12-18-1234-18-1234-	18	18	m	BDK	1808-02-07	Ranmoor		
13745	Old Peculier	-34-14-12-18-1234-58.16-56.	78	18	j	BD	2007-09-14	Sheffield, St Marie		07/1076
13746	Bishop Stopford	-34-14-12-18-14-58-14-	58	12	f	BD/c	2003-04-22	Loughborough Bellfoundry		03/731
13747	Oxford Treble Bob	-34-14-12-18-14-58-14-	58	18	l	BD/c	2002-04-18	Heptonstall		02/460
13748	St Stephen's	-34-14-12-18-34-18-34-	38	18	m	BD/a	1900-02-24	Westminster, St Stephen		BN V18/487
13749	Edale	-34-14-12-18-78-58-56-	18	18	k	BD	2006-01-11	Dore		06/108
13750	Yorkshire Day	-34-14-12-18.34-34.18-16-	58	18	g	BD/a	2009-08-01	Handsworth (Yorks)		09/854
13751	Felkirk	-34-14-12-18.34-34.18-56-	78	18	j	BD/a	2011-07-27	Dore		11/845
13752	Idstone	-34-14-12-38-14-18-12-	78	18	j	BD/d	2011-11-10	Stratton St Margaret		11/1237
13753	Pendragon	-34-14-56-16-34-18-3456-	18	18	m	BD/a	1997-11-15	Todmorden, St Mary		97/1245
13754	Moondance	-34-14-56-16-34-18.56-14.	38	18	m	DK/a	1997-09-27	Whittle-le-Woods		97/1052
13755	Ivernis	-34-14.58-12.38-34-18.36.12-	18	18	m	BD/ac	1982-03-06	Greasley		82/257
