Copyright Central Council of Church Bell Ringers, December 2011
Differential Plain Doubles methods

No.	Name	Notation	hl	le	lh	RW ref

17533	Basingstoke Differential Bob	3.1.125.123.	345	123	13254	
17534	Andover Differential Bob	3.1.125.3.	345	123	13254	
17535	Newbury Differential Bob	3.1.5.1.	5	1	14523	66/463 10/322
17536	Wokingham Differential Bob	3.1.5.123.	345	123	13254	66/495
17537	Marlborough Differential Bob	3.1.5.3.	345	123	13254	66/463
17538	Caithness Differential Place	345.1.125.3.	145	125	15432	11/921
17539	England Differential Bob	345.1.5.1.	145	125	15432	66/463 11/921
17540	Double Canterbury Pleasure Differential Place	345.1.5.123.	145	125	15432	11/921
17541	Old Alresford Differential Place	5.1.125.1.	5	1	14523	10/247
17542	Herriard Differential Place	5.1.125.123.	5	1	15432	10/247
17543	Horsetail Delight Differential Bob	5.1.125.3.	145	125	15432	66/463 11/921
17544	Bentworth Differential Bob	5.1.125.3.	5	1	15432	10/247
17545	Double Differential Bob	5.1.5.1.	145	125	15432	66/463 11/824
17546	Wales Differential Bob	5.1.5.123.	145	125	15432	66/463 11/921
17547	Candover Differential Place	5.1.5.123.	5	1	15432	10/247
17548	Reading Differential Bob	5.1.5.3.	5	1	15432	55/811 10/96
17549	Avington Differential Place	5.145.5.1.	5	1	14523	10/622

Differential Plain Minor methods

No.	Name	Notation	hl	le	lh	RW ref

17550	New Cross Differential Bob	-14-1236-	3456	12	142365	04/1167
17551	Wood Green Differential Bob	-14-1236.12.	3456	12	142365	04/1167
17552	Essential Differential Bob	-14-16-	1236	12	154362	10/574
17553	Referential Differential Bob	-14-16-	36	1234	154362	11/1165
17554	Confidential Differential Bob	-14-16-	56	1234	164325	11/1189
17555	Lambeth North Differential Bob	-14-36-	3456	12	142365	04/1167
17556	North Greenwich Differential Bob	-14-36.12.	3456	12	142365	04/1167
17557	Pimlico Differential Bob	-14.12.1236-	3456	12	142365	04/1167
17558	Sloane Square Differential Bob	-14.12.36-	3456	12	142365	04/1167
