Copyright Central Council of Church Bell Ringers, December 2011
Single-hunt Minor methods

No.	Name	Notation	hl	le	lh	Tower bells	Place	Handbells	RW ref

624	Burton Pleasure Bob	-14-1236-	16	14	152643				
625	Quarr Bob	-14-1236-	16	16	152364			1964-10-30	64/791
626	Newton Bob	-14-1236-	36	12	142563			1964-09-13	64/705
627	Josh Bob	-14-1236-	36	14	154263				96/760 762
628	Pinehurst Bob	-14-1236-	56	12	f	1962-02-03	Brentford	1964-09-12	62/28 147 64/705
629	Stobs Bob	-14-1236-	56	14	164235				96/760 761
630	Westlecott Bob	-14-1236-	56	16	l			1964-10-16	61/848 64/769
631	Stonea Bob	-14-1236.12.	36	12	142563				87/607
632	Gosh Bob	-14-1236.12.	36	14	154263				96/760 762
633	Allerton Bob	-14-1236.12.	56	12	f				83/647
634	Charlton Bob	-14-1236.12.	56	14	164235				96/760 761
635	Hereward the Wake Bob	-14-1236.12.	56	16	l				87/935
636	Paisley Bob	-14-1236.1234.	56	12	f				83/647
637	Bellingham Bob	-14-1236.1234.	56	14	164235				96/760 761
638	Monks of Ely Bob	-14-1236.1234.	56	16	l				87/935
639	Palmer Bob	-14-1236.14.	36	16	m				04/37
640	Pettistree Bob	-14-1236.34.	16	16	m	2006-12-16	Pettistree		04/381 07/34
641	Whitchurch Bob	-14-1236.34.	56	12	f	1974-07-05	East Woodhay		74/636
642	Hawick Bob	-14-1236.34.	56	14	164235				96/760 761
643	Moab Bob	-14-1236.34.	56	16	l				83/972
644	Single Oxford Bob	-14-16-	16	12	b	1867-10-26	Warnham, St Margaret	1963-03-01	63/203
645	Single College Bob	-14-16-	16	14	135642	1998-04-25	Pettistree	1967-12-07	67/940 98/533
646	Single Court Bob	-14-16-	16	16	g	1950-07-13	Silk Willoughby	1964-10-18	50/468 64/791
647	Ledbury Bob	-14-16-	36	14	145362			1971-02-19	69/775 71/289
648	Dunstable Bob	-14-16-	56	14	146325				65/263
649	Wenlock Bob	-14-16-	56	16	146532			1964-11-09	64/824
650	Cartland Bob	-14-16.12.	56	14	146325				89/190
651	Weisdale Bob	-14-16.1234.	56	14	146325				01/562
652	Crick Bob	-14-16.14.	56	12	f				97/564
653	Dorney Court Bob	-14-16.34.	16	16	134625			1964-12-19	63/20 65/45
654	Barking Mad Bob	-14-16.34.	36	16	m				03/1150
655	Unst Bob	-14-16.34.	56	14	146325				01/562
656	Selkirk Bob	-14-16.34.	56	16	146532			1964-11-16	64/824
657	Hereward Bob	-14-36-	16	12	e	1946-11-14	Warehorne	1964-12-14	BN V29/280 RW 46/577 65/28
658	Double Court Bob	-14-36-	16	16	h	1922-10-21	Market Deeping	1956-08-24	22/693 56/580
659	Stanstead Bob	-14-36-	36	12	142563			1964-09-12	64/705
660	Double College Bob	-14-36-	36	14	154263				
661	Double Oxford Bob	-14-36-	56	12	f	1903-12-30	Surfleet	1956-08-11	BN V22/502 RW 56/548
662	Albion Delight Bob	-14-36-	56	14	164235				65/183
663	London Bob	-14-36-	56	16	l	1948-07-23	Sutton St Nicholas	1964-10-04	48/347 64/737
664	Ewenny Bob	-14-36.12.	36	12	142563			1964-09-21	64/705
665	Little Boy Bob	-14-36.12.	36	14	154263				96/760 762
666	Thelwall Bob	-14-36.12.	56	12	f	1957-05-30	Sutton-on-the-Hill	1964-09-11	V6/90 57/377 64/705
667	Tynehead Bob	-14-36.12.	56	14	164235				96/760 761
668	Lytham Bob	-14-36.12.	56	16	l	1962-06-07	Packington	1964-10-12	62/415 64/737
669	Armitage Bob	-14-36.1234.	56	12	f	1975-07-19	Micheldever		75/670
670	Fushiebridge Bob	-14-36.1234.	56	14	164235				96/760 761
671	Edom Bob	-14-36.1234.	56	16	l				83/972
672	Garswood Bob	-14-36.14.	16	16	m				09/591
673	Xanten Bob	-14-36.14.	56	12	136245			1965-02-22	65/237
674	Super Court Bob	-14-36.34.	56	12	f	1972-05-24	East Woodhay		72/503
675	Harker Bob	-14-36.34.	56	14	164235				96/760 761
676	Judah Bob	-14-36.34.	56	16	l				83/972
677	Warkton Bob	-14.12.1236-	16	12	e				97/743
678	Jacobs Ladder Bob	-14.12.1236-	36	12	142563				87/566
679	Fen Boy First Bob	-14.12.1236-	36	14	154263				96/760 762
680	Edge Hill Bob	-14.12.1236-	56	12	f				83/647
681	Cumwhinton Bob	-14.12.1236-	56	14	164235				96/760 761
682	Vermuyden Bob	-14.12.1236-	56	16	l				87/935
683	Crown Court Bob	-14.12.1236.34.	56	12	f				83/647
684	Cotehill Bob	-14.12.1236.34.	56	14	164235				96/760 761 972
685	Earith Bob	-14.12.1236.34.	56	16	l				87/935
686	Trick or Treat Bob	-14.12.16-	16	12	165324				01/1222 02/1193
687	Great Addington Bob	-14.12.16-	36	12	a				98/347 391
688	Potterhanworth Bob	-14.12.16-	56	12	136245				05/438
689	Sarasota Bob	-14.12.16.34.	56	12	136245				94/226
690	Manea Bob	-14.12.36-	36	12	142563				87/566
691	Yoo-Hoo Bob	-14.12.36-	36	14	154263				96/760 762
692	Kemerton Bob	-14.12.36-	56	12	f				72/826
693	Crakehall Bob	-14.12.36-	56	14	164235				96/760 761
694	Overbury Bob	-14.12.36-	56	16	l				72/826
695	Barbecue Bob	-14.12.36.12.	16	12	e				97/1015 1035
696	Pecks Court Bob	-14.12.36.12.	36	12	142563				87/566
