Copyright Central Council of Church Bell Ringers, December 2011
Single-hunt Triples methods

No.	Name	Notation	hl	le	lh	Tower bells	Place	Handbells	RW ref

1787	Mulbarton Bob	3.1.5.1.7.145.	7	127	p	1956-12-12	Hethersett		57/2
1788	Giles Bob	3.1.5.123.7.12345.	7	127	p	Spliced			74/693
1789	Piccadilly Bob	3.1.5.123.7.125.	7	127	p	2008-05-30	Meldreth		74/693 08/746
1790	Ronald Bob	3.1.5.123.7.345.	7	127	p	Spliced			74/693
1791	Bakerloo Bob	3.1.5.123.7.5.	7	127	p	2008-05-21	Meldreth		74/693 08/649
1792	Hamish Bob	3.1.5.3.127.345.	7	127	p	Spliced			74/693
1793	Elmham Bob	3.1.5.3.127.5.	7	127	p	1963-08-15	North Elmham		63/601
1794	Stansted Bob	3.1.5.3.147.3.	7	127	q	1907-10-26	Stansted Mountfitchet		BN V26/392
1795	Margaret Bob	3.1.5.3.7.12345.	7	127	p	Spliced			74/693
1796	St Stephen Bob	3.1.5.3.7.125.	7	127	p	1957-01-16	Hingham (Norfolk)		57/67
1797	Susan Bob	3.1.5.3.7.345.	7	127	p	Spliced			74/693
1798	Waterloo Reverse Bob	3.1.5.3.7.5.	167	1	s				
1799	Waterloo Bob	3.1.5.3.7.5.	7	127	p	1953-01-14	Norwich, St Giles		53/67
1800	German Bight Bob	3.1.567.123.7.12345.	7	127	p	Spliced			74/693
1801	Ecclefechan Bob	3.1.567.123.7.125.	7	127	p	Spliced			74/693
1802	Thames Bob	3.1.567.123.7.345.	7	127	p	Spliced			74/693
1803	Woodhouse Bob	3.1.567.123.7.5.	7	127	p	Spliced			74/693
1804	Biscay Bob	3.1.567.3.127.345.	7	127	p	Spliced			74/693
1805	Parkgate Bob	3.1.567.3.127.5.	7	127	p	Spliced			74/693
1806	Dogger Bob	3.1.567.3.7.12345.	7	127	p	Spliced			74/693
1807	Handsworth Bob	3.1.567.3.7.125.	7	127	p	Spliced			74/693
1808	Fisher Bob	3.1.567.3.7.345.	7	127	p	Spliced			74/693
1809	Sheffield Bob	3.1.567.3.7.5.	7	127	p	1984-10-22	Handsworth (Yorks)		74/693 84/1005
1810	Huntspill Bob	3.1.7.123.7.123.	7	127	p	2008-01-19	East Huntspill, Little Orchard		06/511 08/189
1811	Remembrance Day Bob	3.1.7.3.147.5.	7	127	q	2007-11-11	Wandsworth, Holy Trinity		07/1219
1812	New Bob	3.1.7.3.7.3.	7	127	p	1750-03-28	Shoreditch		58/767
1813	Paston Bob	3.145.7.3.7.3.	7	127	p	1957-05-29	Hingham (Norfolk)		57/390
1814	Croydon Bob	3.147.5.1.7.5.	167	1	r				
1815	Shipway Place	3.147.5.167.7.1.	7	127	q	1801-02-17	Hackney		58/767
1816	Rondo Bob	3.167.5.123.7.12345.	7	127	p	2008-05-02	Meldreth		74/693 08/593
1817	Pythagorean Bob	3.167.5.123.7.125.	7	127	p	2008-04-11	Meldreth		74/693 08/497
1818	Toccata Bob	3.167.5.123.7.345.	7	127	p	2008-04-14	Meldreth		74/693 08/521
1819	Marylebone Bob	3.167.5.123.7.5.	7	127	p	Spliced			74/693
1820	Palestrina Bob	3.167.5.3.127.345.	7	127	p	Spliced			74/693
1821	Century Bob	3.167.5.3.127.5.	7	127	p	Spliced			74/693
1822	Facade Bob	3.167.5.3.7.12345.	7	127	p	Spliced			74/693
1823	Lundy Bob	3.167.5.3.7.125.	7	127	p	Spliced			74/693
1824	Passacaglia Bob	3.167.5.3.7.345.	7	127	p	Spliced			74/693
1825	Tinsley Bob	3.167.5.3.7.5.	7	127	p	2007-11-02	Meldreth		74/693 07/1217
1826	Plaza Bob	345.1.5.123.7.12345.	7	127	p	Spliced			74/693
1827	Salford Bob	345.1.5.123.7.125.	7	127	p	Spliced			74/693
1828	Robert Bob	345.1.5.123.7.345.	7	127	p	Spliced			74/693
1829	Abba Bob	345.1.5.123.7.5.	7	127	p	Spliced			74/693
1830	Biryani Bob	345.1.5.3.127.345.	7	127	p	Spliced			74/693
1831	Flat-iron Bob	345.1.5.3.127.5.	7	127	p	Spliced			74/693
1832	Marcus Bob	345.1.5.3.7.12345.	7	127	p	Spliced			74/693
1833	Thermopylae Bob	345.1.5.3.7.125.	7	127	p	Spliced			74/693
1834	Ian Bob	345.1.5.3.7.345.	7	127	p	Spliced			74/693
1835	Trafalgar Bob	345.1.5.3.7.5.	7	127	p	Spliced			74/693
1836	Tyne Bob	345.1.567.123.7.12345.	7	127	p	Spliced			74/693
1837	Attercliffe Bob	345.1.567.123.7.125.	7	127	p	Spliced			74/693
1838	Ronaldsway Bob	345.1.567.123.7.345.	7	127	p	Spliced			74/693
1839	Brightside Bob	345.1.567.123.7.5.	7	127	p	Spliced			74/693
1840	Shannon Bob	345.1.567.3.127.345.	7	127	p	Spliced			74/693
1841	Darnall Bob	345.1.567.3.127.5.	7	127	p	Spliced			74/693
1842	Finnisterre Bob	345.1.567.3.7.12345.	7	127	p	Spliced			74/693
1843	Aldewarke Bob	345.1.567.3.7.125.	7	127	p	Spliced			74/693
1844	Patmos Bob	345.1.567.3.7.345.	7	127	p	Spliced			74/693 87/558
1845	Roundwood Bob	345.1.567.3.7.5.	7	127	p	Spliced			74/693
1846	Lune Bob	345.167.5.123.7.12345.	7	127	p	Spliced			74/693
1847	Wye Bob	345.167.5.123.7.125.	7	127	p	Spliced			74/693
1848	Healey Bob	345.167.5.123.7.345.	7	127	p	Spliced			74/693
1849	Humber Bob	345.167.5.123.7.5.	7	127	p	Spliced			74/693
1850	Heywood Bob	345.167.5.12367.7.5.	7	127	p	1994-02-18	Heywood		74/617 94/282
1851	Ceviche Bob	345.167.5.3.127.345.	7	127	p	Spliced			74/693
1852	Trent Bob	345.167.5.3.127.5.	7	127	p	Spliced			74/693
1853	Shawclough Bob	345.167.5.3.7.12345.	7	127	p	Spliced			74/693
1854	Severn Bob	345.167.5.3.7.125.	7	127	p	Spliced			74/693
1855	Ellwoodii Bob	345.167.5.3.7.345.	7	127	p	Spliced			74/693
1856	Avon Bob	345.167.5.3.7.5.	7	127	p	1991-02-02	Salisbury, St Thomas		74/693 91/219
1857	Snoopy Bob	34567.1.5.123.7.12345.	7	127	p	Spliced			74/693
1858	Peatling Parva Bob	34567.1.5.123.7.125.	7	127	p	Spliced			74/693 670 750
1859	Bramble Bob	34567.1.5.123.7.345.	7	127	p	Spliced			74/693
1860	Hanover Bob	34567.1.5.123.7.5.	7	127	p	Spliced			74/693
1861	Woodstock Bob	34567.1.5.3.127.345.	7	127	p	Spliced			74/693
1862	Anstey Bob	34567.1.5.3.127.5.	7	127	p	Spliced			74/693
1863	Pushkin Bob	34567.1.5.3.7.12345.	7	127	p	Spliced			74/693
1864	Brunswick Bob	34567.1.5.3.7.125.	7	127	p	Spliced			74/693
1865	Sundance Bob	34567.1.5.3.7.345.	7	127	p	Spliced			74/693
1866	Willoughby Waterleys Bob	34567.1.5.3.7.5.	7	127	p	Spliced			74/693 670 750
1867	Guisborough Place	34567.1.567.123.7.12345.	7	127	p	Spliced			74/693
