Copyright Central Council of Church Bell Ringers, December 2011
Single-hunt Major methods

No.	Name	Notation	hl	le	lh	Tower bells	Place	Handbells	RW ref

1965	Dorking Bob	-14-1236-1258-	18	18	k	1982-12-31	Windsor, St John-the-Baptist		83/144
1966	Pinehurst Bob	-14-1236-58-	78	12	f	Spliced			93/1269
1967	Banosa Bob	-14-1236-58.12.	78	12	f	Spliced			93/1269
1968	Idgah (Agra) Junction Bob	-14-1236.12.123458.3456.	78	12	f	Spliced			93/1269
1969	Kapustalni Bob	-14-1236.12.1258-	78	12	f	Spliced			93/1269
1970	Agra Fort Platform 1 Bob	-14-1236.12.1258.3456.	78	12	f	Spliced			93/1269
1971	Lehgaon Bob	-14-1236.12.58-	78	12	f	Spliced			93/1269
1972	Allerton Bob	-14-1236.12.58.12.	78	12	f	Spliced			93/1269
1973	Nowbagh Bob	-14-1236.1278.1258-	78	12	14263785	Spliced			93/1269
1974	Khusta Buzurg Bob	-14-1236.1278.58-	78	12	14263785	Spliced			93/1269
1975	Old Oak Common Bob	-14-1236.1278.58.12.	78	12	14263785	Spliced			93/1269
1976	Derby Etches Park Bob	-14-1236.78.58-	78	12	14263785	Spliced			93/1269
1977	Pathrot Bob	-14-1236.78.58.12.	78	12	14263785	Spliced			93/1269
1978	Kinkhed Bob	-14-123678-1258-	78	12	14263785	Spliced			93/1269
1979	Vilegaon Bob	-14-123678-1258.12.	78	12	14263785	Spliced			93/1269
1980	Bhadsivni Bob	-14-123678.12.58.12.	78	12	14263785	Spliced			93/1269
1981	Chicklade Bob	-14-1238-3458.16.	78	12	d	Spliced			83/282
1982	Selsey Bob	-14-1238-3458.16.	78	18	j	Spliced			82/970
1983	Oxenwood Bob	-14-1238-38.14.	78	12	d	Spliced			83/282
1984	Chilton Bob	-14-1238-38.14.	78	18	j	Spliced			82/970
1985	Vauxhall Bob	-14-1238-38.1456.	78	12	d	Spliced			82/555
1986	Melksham Bob	-14-1238-38.1456.	78	18	j	Spliced			83/398
1987	Gussage Bob	-14-1238-58.12.	58	12	f	Spliced			82/740
1988	Shaw Bob	-14-16-1458-	78	12	f	1983-07-24	Shaw		82/970 83/686
1989	Single Oxford Bob	-14-16-18-	18	12	c	1889-01-10	Warnham, St Margaret		BN V7/535
1990	Single Norwich Court Bob	-14-16-18-	18	18	h	1937-11-20	Alburgh	1922-01-10	22/38 37/785
1991	Fiddlers Hill Bob	-14-16-18.36.	78	12	f	Spliced			83/534
1992	Arlington Bob	-14-16-58.14.	78	12	f	Spliced			83/534
1993	Clifton Bob	-14-16-58.14.	78	18	l	2009-05-12	Clifton (Notts), St Mary		09/565
1994	Beretun Bob	-14-16.34.18-	58	12	a	1954-12-02	Hemel Hempstead		54/803 55/24
1995	Wrington Bob	-14-16.34.18.34.	58	12	a	Spliced			82/342
1996	Earlstoke Bob	-14-16.34.18.3456.	18	18	m	Spliced			83/398
1997	Hethersett Bob	-14-16.34.18.36.	18	18	m	1947-12-19	Hethersett		48/23 60
1998	Saxlingham Bob	-14-16.34.58.36.	58	18	m	1952-09-15	Saxlingham Nethergate		52/627
1999	Single Darlaston Bob	-14-18-18-	18	14	18576234	1895-06-03	Bolsterstone		BN V14/20
2000	Christleton Bob	-14-18-58.14.	58	12	f	1953-12-05	Christleton		53/816
2001	Sawston Imperial Bob	-14-18.34.18.34.	18	18	m	1947-12-27	Norwich, St Giles		48/43
2002	Loughborough Bob	-14-36-18-	38	12	d	1929-05-18	Liscard		29/325
2003	Cambridge Court Bob	-14-36-18-	38	18	j	1923-07-19	Nuneaton	1922-09-12	22/597
2004	Hereward Bob	-14-36-58-	18	12	e	1914-08-20	Reddish	1946-08-03	V7/126 46/391
2005	Double Norwich Court Bob	-14-36-58-	18	18	k	1741-03-09	Norwich, St Michael Coslany	1891-02-23	BN V9/588 RW 59/651
2006	Double Oxford Bob	-14-36-58-	78	12	f	1832-07-26	Norwich, St Giles	1923-01-02	23/39 59/651
2007	Pershore Bob	-14-36-58-	78	18	l	1927-08-20	Pershore, Abbey		27/547
2008	Westminster Bob	-14-36-58.12.	78	18	l	1953-01-24	Pulford		53/98
2009	Basford Bob	-14-36-58.34.	78	12	f	1997-05-05	Basford		97/539
2010	Queen Imperial Bob	-14-36-58.34.	78	18	l	1954-05-15	Pulford		54/341
2011	Mid Wales Music Week Bob	-14-36.12.3458-	78	12	f	2007-09-15	Liverpool, St Francis Xavier		07/1076
2012	Handbridge Bob	-14-36.12.58-	78	18	l	1954-02-13	Handbridge		54/132
2013	Thelwall Bob	-14-36.12.58.12.	78	12	f	Spliced			93/1269
2014	Ercall Bob	-14-36.12.58.12.	78	18	l	1959-06-06	High Ercall		59/410
2015	Cheers Bob	-14-36.12.58.16.	38	18	m	2004-12-08	Dore		05/11
2016	Overleigh Bob	-14-36.12.58.34.	78	18	l	1959-10-24	Handbridge		59/648
2017	Upton Imperial Bob	-14-36.12.58.36.	18	18	m	1958-07-30	Gressenhall		58/539
2018	Birkenhead Mollington Street Bob	-14-36.1278.58.12.	78	12	14263785	Spliced			93/1269
2019	Rodborough Bob	-14-36.14.38-	58	12	a	Spliced			82/970
2020	Yarnton Bob	-14-36.14.38.12.	58	12	a	Spliced			83/366
2021	Dublin Court Bob	-14-36.14.38.16.	38	18	m	1913-09-27	Gosforth		V5/217
2022	Cheltenham Bob	-14-36.14.58.14.	78	12	f	1939-06-16	Crayford		39/396
2023	Leamington Bob	-14-36.14.58.14.	78	18	l	1951-04-30	Hethersett		51/310
2024	Murtajapur Junction Bob	-14-3678-1258.12.	78	12	14263785	Spliced			93/1269
2025	Achalpur Bob	-14-3678-58-	78	12	14263785	Spliced			93/1269
2026	Murtajapur Town Bob	-14-3678.12.58-	78	12	14263785	Spliced			93/1269
2027	Engine Common Bob	-14-38-1258-	58	12	f	Spliced			82/970
2028	Olveston Bob	-14-38-1258.34.	58	12	f	Spliced			83/282
2029	Snettisham Bob	-14-38-1458.36.	78	18	j	1959-10-07	East Dereham		59/616
2030	Winchester Bob	-14-38-18-	18	12	c	1924-12-09	Willesden	1947-02-02	24/803 47/82
2031	Shipway Court Bob	-14-38-18-	18	18	h			1934-01-17	34/54
2032	Marlborough Bob	-14-38-18-	78	12	d	1924-10-14	Willesden	1947-06-08	24/675 47/288
2033	Highbury Bob	-14-38-18-	78	18	j	1959-09-30	Pulham St Mary the Virgin	1941-07-25	41/363 59/599
2034	Hodnet Bob	-14-38-18.34.	78	12	d	1954-04-24	Hodnet		54/292
2035	Owlpen Bob	-14-38-18.34.	78	18	j	Spliced			82/970
2036	Grove Bob	-14-38-18.3456.	78	18	j	Spliced			83/398
2037	Daresbury Bob	-14-38-18.56.	78	12	d	1952-11-15	Daresbury		52/756
2038	Croesoswallt Bob	-14-38-18.56.	78	18	j	1962-07-14	Oswestry		62/498 524
2039	Andoversford Bob	-14-38-3458.12.	58	12	f	Spliced			82/740 83/464
2040	Orcheston Bob	-14-38-38.1456.	38	18	k	Spliced			82/555
2041	Cholmondeley Bob	-14-38-38.16.	38	12	e	1953-06-13	Malpas		53/449
2042	Taunton Court Bob	-14-38-38.16.	38	18	k	1958-12-03	East Dereham		58/820
2043	Painswick College Bob	-14-38-58-	58	12	f	1937-07-16	Crayford		37/484
2044	Kidlington College Bob	-14-38-58-	58	18	l	1945-03-24	Norwich, St John de Sepulchre	1944-06-11	44/250 45/134
2045	Liscard Bob	-14-38-58.12.	58	12	f	1953-01-10	Liscard		53/67
2046	Tilstock Bob	-14-38-58.12.	58	18	l	1960-02-06	Wem		60/131
2047	Odstock Bob	-14-38-58.1234.	58	12	f	Spliced			83/282
2048	Owen's College Bob	-14-38-58.34.	58	12	f	1952-10-18	Stretford		52/706
2049	Littleton Bob	-14-38-58.34.	58	18	l	1959-11-21	Christleton		59/719
2050	Bebington Bob	-14-38.12.38.14.	78	12	d	1953-03-14	Bebington		53/194
2051	Nupend Bob	-14-38.12.38.14.	78	18	j	Spliced			82/970
2052	Taits Hill Bob	-14-38.12.38.1456.	78	18	j	Spliced			82/970
2053	Farndon Bob	-14-38.12.58-	58	12	f	1954-01-02	Farndon (Cheshire)		54/35
2054	St Francis Bob	-14-38.12.58-	58	18	l	1959-10-31	Buckley		59/668
2055	Hedingham Bob	-14-38.12.58.12.	58	12	f	1957-07-24	Sible Hedingham		57/491
2056	Cheswardine Bob	-14-38.12.58.12.	58	18	l	1959-05-02	Cheswardine		59/327
2057	Kinnerton Bob	-14-38.12.58.34.	58	18	l	1959-09-12	Pulford		59/565
2058	Truro Court Bob	-14-38.14.38.14.	38	18	m	1950-10-27	Hethersett		50/706
2059	Colville Bob	-14-38.14.58.14.	58	12	f	1952-05-17	Witton		52/340
2060	Romsey Court Bob	-14-38.14.58.14.	58	18	l	Spliced			52/102
2061	Pohe Bob	-14.12.36-1258-	78	12	f	Spliced			93/1269
2062	Karanja Bob	-14.12.36-1258.12.	78	12	f	Spliced			93/1269
2063	Ralbha Bob	-14.12.36.12.3458.56.	78	12	f	Spliced			93/1269
2064	Karanja Town Bob	-14.12.36.12.58-	78	12	f	Spliced			93/1269
2065	Corse Bob	-14.12.36.12.58.12.	78	12	f	Spliced			93/1269
2066	Bichpuri Bob	-14.12.36.12.58.3456.	78	12	f	Spliced			93/1269
2067	Khera Sandhan Halt Bob	-14.12.36.1234.3458.1256.	78	12	f	Spliced			93/1269
2068	Achhnera Junction Bob	-14.12.36.1234.58.123456.	78	12	f	Spliced			93/1269
2069	Warudkhed Bob	-14.12.3678-1258.12.	78	12	14263785	Spliced			93/1269
2070	Somthan Bob	-14.12.3678-58-	78	12	14263785	Spliced			93/1269
2071	Sangwi Bob	-14.12.3678-58.12.	78	12	14263785	Spliced			93/1269
2072	Bhandegaon Bob	-14.12.3678.12.58.12.	78	12	14263785	Spliced			93/1269
2073	Rati-ka-Nagla Bob	-14.1256.36-123458-	78	12	14258367	Spliced			93/1269
2074	Bastol Halt Bob	-14.1256.36-123458.56.	78	12	14258367	Spliced			93/1269
2075	Hathras Road Bob	-14.1256.36-1258.1234.	78	12	14258367	Spliced			93/1269
2076	Agsauli Bob	-14.1256.36.34.123458.56.	78	12	14258367	Spliced			93/1269
2077	Sikandra Rao Bob	-14.1256.36.34.1258.123456.	78	12	14258367	Spliced			93/1269
2078	Patiali Bob	-14.125678.3678-58.56.	78	12	14258367	Spliced			93/1269
2079	Narthar Halt Bob	-14.125678.3678.12.3458.3456.	78	12	14258367	Spliced			93/1269
2080	Birpur Bob	-14.1278.36-1258-	78	12	14263785	Spliced			93/1269
2081	Silipur Bob	-14.1278.36.12.58-	78	12	14263785	Spliced			93/1269
2082	Ikdori Bob	-14.1278.36.12.58.12.	78	12	14263785	Spliced			93/1269
2083	Durgapuri Bob	-14.1278.3678-1258.12.	78	12	f	Spliced			93/1269
2084	Saroni Road Bob	-14.1278.3678-58-	78	12	f	Spliced			93/1269
2085	Khijeepura Bob	-14.1278.3678-58.12.	78	12	f	Spliced			93/1269
2086	Girdharpur Bob	-14.1278.3678.12.58-	78	12	f	Spliced			93/1269
2087	Mendu Bob	-14.56.1236.123478.3458-	78	12	14257386	Spliced			93/1269
2088	Hathras City Bob	-14.56.1236.1278.123458.56.	78	12	14257386	Spliced			93/1269
2089	Mursan Bob	-14.56.1236.1278.1258-	78	12	14257386	Spliced			93/1269
2090	Sonal Bob	-14.56.1236.1278.58.56.	78	12	14257386	Spliced			93/1269
2091	Mathura Cantt Bob	-14.56.1236.78.3458-	78	12	14257386	Spliced			93/1269
2092	Raya Bob	-14.56.1236.78.3458.3456.	78	12	14257386	Spliced			93/1269
2093	Teffont Magna Bob	-14.56.1238-1458-	38	12	b	Spliced			83/282
2094	Walcot Bob	-14.56.1238-1458-	38	18	g	Spliced			83/32
2095	Iron Acton Bob	-14.56.18-18-	78	18	h	Spliced			83/282
2096	Radcot Bob	-14.56.18-18.34.	78	12	c	Spliced			83/534
2097	Parkham Bob	-14.56.36.12.3458.1256.	78	12	14258367	Spliced			93/1269
2098	Bhainsa Bob	-14.56.36.1234.3458.12.	78	12	14258367	Spliced			93/1269
2099	Mathura Junction Bob	-14.56.36.1234.3458.1256.	78	12	14258367	Spliced			93/1269
2100	Akeman Bob	-14.56.38.14.38.56.	38	12	a	Spliced			83/398
2101	Kasganj Junction Bob	-14.5678.1236.12.123458.3456.	78	12	14257386	Spliced			93/1269
2102	Marahra Bob	-14.5678.1236.12.58.34.	78	12	14257386	Spliced			93/1269
2103	Sahawar Town Bob	-14.5678.1236.1234.123458-	78	12	14257386	Spliced			93/1269
2104	Badhari Kalan Bob	-14.5678.1236.34.3458.56.	78	12	14257386	Spliced			93/1269
2105	Garhka Bob	-14.5678.3678.1234.1258.34.	78	12	14258367	Spliced			93/1269
2106	Ganj Dundwara Bob	-14.5678.3678.1234.1258.3456.	78	12	14258367	Spliced			93/1269
