Copyright Central Council of Church Bell Ringers, December 2011
Doubles principles (2 changes per lead)

No.	Name	Notation	lh	Tower bells	Place	RW ref

17225	Original	5.1	24153	1957-02-02	Purleigh	57/102

Doubles principles (4 changes per lead)

No.	Name	Notation	lh	RW ref

17226	Tendring	123.1.123.5	31524	
17227	What you Please	125.3.125.1	25134	
17228	Reverse Paradox	125.5.125.1	24153	
17229	Paradox	145.1.145.5	31524	
17230	Phoenix	145.3.145.5	23514	
17231	Saturn	3.5.3.1	25134	58/256
17232	Reverse Tendring	345.5.345.1	24153	
17233	Titanic	5.1.5.3	24531	89/1027

Doubles principles (5 changes per lead)

No.	Name	Notation	lh	RW ref

17234	Cactus	5.1.3.5.1	23451	11/1223

Doubles principles (6 changes per lead)

No.	Name	Notation	lh	Tower bells	Place	RW ref

17235	Reverse Erin	1.3.5.3.5.3	31524			
17236	Ocean Finance	3.5.123.1.3.123	51234			08/598
17237	Cucumber	5.1.125.145.5.1	51234			09/710
17238	Vegetarian Sausage	5.1.345.123.5.1	23451			94/1175
17239	Erin	5.3.1.3.1.3	24153	1957-11-23	Shepperton	57/801
17240	Earin	5.345.1.3.145.3	24153			08/1051

Doubles principles (8 changes per lead)

No.	Name	Notation	lh	RW ref

17241	Banana	3.125.3.125.3.145.3.145	41253	09/710

Doubles principles (12 changes per lead)

No.	Name	Notation	lh	Tower bells	Place	Handbells	RW ref

17242	Clappers Orchard	1.145.3.145.1.145.3.145.1.125.3.125	23451				90/1064
17243	Stedman	3.1.5.3.1.3.1.3.5.1.3.1	53412	1873-09-25	Chesterton	1926-10-21	26/677
17244	Reverse Carter	3.1.5.3.1.3.1.3.5.1.3.5	45231	1974-02-18	Hammerwood		74/225
17245	Wiggle	3.125.3.145.3.145.3.145.3.145.3.125	51423				08/1051
17246	Lulys Ope	3.145.1.145.3.125.1.145.3.145.1.125	23451				90/1175
17247	Reverse Stedman	3.5.1.3.5.3.5.3.1.5.3.5	45231	1979-05-04	Riseley		79/476
17248	Newton Valence	3.5.125.3.1.3.1.3.125.5.3.5	31524				90/943
17249	Parsnip	345.1.5.1.345.1.345.123.5.1.345.123	45231				09/710
17250	Carter	5.3.1.3.5.1.3.5.3.5.3.1	53124	1960-12-02	Sulgrave		60/844

Doubles principles (24 changes per lead)

No.	Name	Notation	lh	Tower bells	Place	Handbells	RW ref

17251	Reverse Helmdon	1.125.3.125.3.125.3.125.3.125.3.125.1.123.5.123.5.123.5.123.5.123.5.123	23514				84/879
17252	Reverse Welton	1.125.3.125.3.125.3.125.3.125.3.125.1.123.5.345.5.123.5.123.5.345.5.123	23514				84/879
17253	Reverse Staverton	1.125.3.125.3.125.3.125.3.125.3.125.1.3.125.345.125.3.5.3.125.345.125.3	23514				84/879
17254	Reverse Norton	1.125.3.125.3.125.3.125.3.125.3.125.1.3.5.345.5.3.5.3.5.345.5.3	23514				84/879
17255	Reverse Maidford	1.125.3.345.3.125.3.125.3.345.3.125.1.123.5.345.5.123.5.123.5.345.5.123	23514				84/879
17256	Mermaid	1.3.1.3.1.5.1.3.1.3.1.125.3.5.3.5.3.1.3.5.3.5.3.145	53124				
17257	Reverse Eydon	1.5.123.125.123.5.3.5.123.125.123.5.1.3.125.123.125.3.5.3.125.123.125.3	23514				84/879
17258	Reverse Thenford	1.5.123.345.123.5.3.5.123.345.123.5.1.3.125.345.125.3.5.3.125.345.125.3	23514				84/879
17259	Reverse Charwelton	1.5.3.125.3.5.3.5.3.125.3.5.1.123.5.345.5.123.5.123.5.345.5.123	23514				84/879
17260	Reverse Gayton	1.5.3.125.3.5.3.5.3.125.3.5.1.3.5.345.5.3.5.3.5.345.5.3	23514				84/879
17261	Reverse Woodford	1.5.3.345.3.5.3.5.3.345.3.5.1.3.5.345.5.3.5.3.5.345.5.3	23514				84/879
