Copyright Central Council of Church Bell Ringers, December 2011
Surprise Royal methods

No.	Name	Notation	hl	le	lh	fch	Tower bells	Place	Handbells	RW ref

10622	Flodden	-34-14-12-1230-12-50-14-50-14-	50	12	1362485079		Spliced			08/942
10623	Hobgoblin	-34-14-12-1230-14-50-16-70-18-	90	12	c1	cps/BDc	1999-12-17	Thatcham	2011-09-28	95/277 00/33 11/1068
10624	WIGHTLink	-34-14-12-3670-34-30-34-30-34-	70	12	1302896745		Spliced			06/861
10625	Westminster	-34-14-12-30-12-30-12-30-12-	30	12	a	cps/BD	2006-05-03	Stubbington, Narnia Campanile	1967-03-09	67/292 06/471
10626	Foss Islands	-34-14-12-30-12-50-12.34.50-14-	50	12	f	F/BDc	Spliced			03/297
10627	Portsmouth	-34-14-12-30-14-50-56-70-16-	70	10	k1	cps/BDd	1993-09-25	Portsmouth Cathedral		89/13 68 93/1069
10628	Wensum	-34-14-12-30-34-1458-12-50-34-	10	10	m	cps/BDa2	1987-11-28	Wymondham (Norfolk)		87/1141
10629	Allbrook	-34-14-12-30-34-18-36-30-78-	10	12	e	cps/BDa2	2005-06-21	Bishopstoke		05/647
10630	Norwich	-34-14-12-30-34-30-34-30-34-	10	10	m	cps/BDa2	1972-12-11	Isleworth	1979-01-31	73/49 79/163
10631	Fratton Park	-34-14-12-30-34-50-14-50-34-	50	12	f	cps/BDa2c	2010-01-16	Rickmansworth		06/861 10/118
10632	Pompey	-34-14-12-30-34-50-14-50-34-	50	10	l	cps/BDa2c	1980-11-29	Portsmouth Cathedral		81/54
10633	Tythby	-34-14-12-30.12-14.50-16-70-16-	70	10	k1	cps/BDc	2001-01-23	Beeston		01/219
10634	Denali	-34-14-12-30.12-14.50-16-70.16-16.	70	10	k1	cps/BDc	2007-12-22	Newbold-on-Avon		08/87
10635	Ireby	-34-14-12-30.12-14.50.16-16.70-16-	70	10	k1	cps/BDc	2003-01-28	Saltby		03/178
10636	Banbury Cross	-34-14-12-30.12-14.50.16-16.70-78-	10	10	j1	cps/BDc	1998-05-16	Banbury		98/626
10637	Otterbourne	-34-14-12-30.12-14.50.16-16.70.16-16.	70	10	k1	cps/BDc	1996-10-12	Bishopstoke		96/1148
10638	Warkworth	-34-14-12-30.14-12.30.14-12.30.14-12.	30	10	m	cps/BDOd	1992-01-18	Northampton, St Giles		92/187
10639	Longmead	-34-14-12-30.14-34.50.14.56-50.14.56-	30	12	e	cps/BDd	2009-08-25	Bishopstoke		05/988 09/949
10640	Zorin	-34-14-12.50.16-12-50-56-70.12-14.	70	12	a	T/BDa1c	Spliced			03/466
