Copyright Central Council of Church Bell Ringers, December 2011
Surprise Maximus methods

No.	Name	Notation	hl	le	lh	fch	Tower bells	Place	Handbells	RW ref

12122	Westminster	-34-14-12-3T-12-3T-12-3T-12-3T-12-	3T	12	a	cps/BD			1967-01-23	67/173
12123	Eves	-34-14-12-3T-12-5T-14-5T-14-5T-14-	5T	12	f	cps/BDc	Spliced			99/778
12124	Norwich	-34-14-12-3T-34-3T-34-3T-34-3T-34-	1T	1T	m	cps/BDa			1990-10-22	90/1228
12125	Adventurers' Fen	-34-14.5T-5T.16-14-3T.16-16.5T.18-18.9T.18-18.	9T	12	a	cps/Dce			1992-02-02	92/239
12126	Knarr Fen	-34-14.7T.12-16-7T.14.58-14-70.18-18.9T.18-18.	ET	1T	l	cps/BDc			1993-04-09	93/475
12127	Laddus Fen	-34-14.7T.12-16-7T.14.58-14-7T.18-18.9T.18-18.	9T	1T	l	cps/BDc	1993-12-27	Guildford Cathedral	1993-05-04	93/551 94/108
12128	Trafalgar	-34-145T-56-16-14-3T-16-5T-18-7T-10-	9T	12	b	cps/BDd	1987-08-15	Westminster, St Martin-in-the-Fields	2006-06-07	70/599 608 87/791 06/646
12129	Birmingham	-36-14-12-3T-12-3T-14-3T-16-5T-18-	ET	12	b	cps/DE	1959-11-19	Birmingham Cathedral		59/734
12130	Painswick	-36-14-5T-16-12-5T-16-5T-18-7T-10-	ET	12	b	cps/BE	1971-11-13	Painswick		69/693 70/394 599 72/14
12131	Lindum	-36-14-5T-16-14-3T-14-5T-14-5T-14-	5T	12	f	cps/EK1	Spliced			70/697
12132	Millennium	-36-14-5T-38-147T-30-169T-50-18-9T-70-	ET	12	b	cps/E	1984-12-01	Christchurch (Hants)		85/85 99/424
12133	Yarmouth	-38-1458-9T-18-129T-10-90-7T-78-167T-1690-	1T	12	b	cps/Da2c	1979-04-03	Shoreditch		69/972 70/394 599 79/433
12134	Indiana	-38-147T-1250-369T-147T-38-169T-50-16-5T-18-	7T	1T	m	cps	1974-12-14	Aston (Warks)		69/227 75/48
12135	Quex	-38-147T-1250-369T-147T-58-169T-70-18-9T-10-	ET	12	b	cps	1970-02-28	Birmingham Cathedral	1978-03-01	68/711 78/336
12136	Kidderminster	-38-147T-50-169T-7T-18-129T-30-14-5T-16-	ET	12	b	cps	1971-12-11	Aston (Warks)	1978-06-07	68/711 72/33 78/568
12137	Elkington	-30-14-5T-36-1470-58-369T-30.14.58.14.7T.14.36.14.	ET	12	b	cps	Spliced			70/599 608
12138	New Southgate	-30-14-5T-36-1470-58-369T-70-18-9T-30-	1T	12	a	cps	1988-05-18	Shoreditch		88/547 553
12139	Superlative	-30-14-5T-36-1470-58-369T-70-18-9T-30-	ET	12	b	cps	1927-04-30	Ipswich, St Mary-le-Tower	1974-11-20	27/274 74/1029
12140	Harleston	-30-14-5T-36-1470-58-369T-70-18-9T-30-	ET	1T	g	cps	Spliced			63/129
12141	Ouse Fen	-30-14-7T-36-349T-58-14-3470-18-7T-18-	ET	12	c1	cps/K1c			1993-08-11	93/882 940 1027
12142	Grundisburgh	-3T-14-12-123T-14-3T-16-5T-16-5T-16-	5T	1T	m	cps/BDd	1992-04-18	Grundisburgh		92/481
12143	Cockpit	-3T-14-12-16-12.7T.58.14-9T.70-12.58.3T.90.14.70.	9T	12	f	cps/BDc	Spliced			96/325
12144	Dereham	-3T-14-12-16-34-145T-16-5T-16-5T-16-	5T	12	b	cps/BD	2006-05-15	Rotherham, All Saints		06/527
12145	Micklebring	-3T-14-12-16-34-145T-16-5T-18-7T-10-	9T	12	b	cps/BD	2009-04-27	Rotherham, All Saints		09/565
12146	Conisbrough	-3T-14-12-36-12-3T-16-3T-16-3T-16-	3T	12	f	cps/BD	1980-08-05	Shoreditch		68/711 80/752
12147	Warwickshire	-3T-14-12-3T-12-3T-14-5T-16-9T-10-	ET	12	b	cps/BDO	1971-04-10	Manchester, Town Hall		69/693 70/394 599 71/574
12148	Bourne	-3T-14-12-3T-34-3T-34-3T-34-3T-34-	3T	12	e	cps/BDa			1990-11-19	90/1228
12149	Surfleet	-3T-14-12-3T.14-12.5T.14-12.5T.14-12.5T.14-12.	5T	12	d	cps/BDK1cd	1987-05-27	Surfleet		87/647
12150	York	-3T-14-12-3T.14-14.3T.14-14.3T.14-14.3T.14-14.	3T	12	a	cps/BDK1	1939-02-11	Ipswich, St Mary-le-Tower	1962-03-13	39/102 62/212
12151	New Durham	-3T-14-12-3T.14-14.3T.14-14.3T.14-14.3T.14-34.	1T	12	a	cps/BDK1a2	1963-01-28	Leicester Cathedral	1963-01-06	63/68 114
12152	Feering	-3T-14-12-3T.14-14.3T.14-14.3T.14-14.3T.14-34.	ET	12	b	cps/BDK1a2	1973-04-14	Aston (Warks)		67/440 73/353
12153	Effingham	-3T-14-12-3T.14-34.5T-56-1670-78-189T-10-	9T	12	b	cps/BDK1a2	2008-08-04	Rotherham, All Saints		08/890
12154	Ashendon	-3T-14-12-3T.14.78.90.58.34.56.9T.10-ET-9T-10-	1T	1T	h	cps/BD	Spliced			10/41
12155	Asaph Hall	-3T-14-12.5T.16-34-5T-16-7T.16-16.7T.16-16.	7T	12	f	D/BDa2			2010-10-06	10/1088
12156	Phobos	-3T-14-12.5T.16-34-5T-16-7T.16-16.7T.16-16.	7T	1T	l	D/BDa2	2004-02-29	Birmingham, St Martin	2008-04-09	99/1191 04/272 08/499
12157	High Fen	-3T-14-1256-16-12-125T-16-147T-36-7T-12-	7T	12	d	B/Bc	1994-06-11	Ashton-under-Lyne, St Michael		94/711
12158	Scothorne	-3T-14-1256-16-14-5T-14-5T-14-5T-14-	5T	12	f	B/BK1	Spliced			02/763
12159	Shepton Beauchamp	-3T-14-1256-16.34.12.34.5T.14-14.5T.14-14.5T.14-14.	5T	12	f	BD/Bc	2009-10-13	Shepton Beauchamp		09/1093
12160	Jubilee	-3T-14-1256-36-14-125T-14-5T-14-5T-14-	5T	12	f	B/Bcd	1977-06-14	Shoreditch	1977-12-19	77/640 78/79
12161	Flambard	-3T-14-125T-16-127T-18-9T-10-16-9T-50-	ET	12	b	D/Bc	1994-10-01	Christchurch (Hants)		94/1119
12162	Turramurra	-3T-14-125T-16-147T-38-169T-50-18-7T-90-	ET	12	b	D/BD	1997-03-30	Sydney, NSW, St Mary's Cathedral		97/398
12163	Headingley	-3T-14-125T-16-147T-38-9T-10-16-7T-58-	ET	12	b	D/Bc	2003-07-21	Escrick		03/759
