Copyright Central Council of Church Bell Ringers, December 2011
Surprise Minor methods

No.	Name	Notation	hl	le	lh	Tower bells	Place	Handbells	RW ref

3817	Sutton-cum-Lound	-34-14-12-1236-12-	16	14	162534	1981-08-10	Barrowby		70/496 81/812
3818	Fryerning	-34-14-12-1236-12-	36	12	a	1960-07-09	Burnham-on-Crouch	1996-04-22	60/493 96/589
3819	Broomfield	-34-14-12-1236-12-	56	12	136245				62/148
3820	Little Waltham	-34-14-12-1236-12.1234.	56	12	136245				11/417
3821	Jarrom	-34-14-12-1236-1234-	16	16	m				64/455 503
3822	St Peter	-34-14-12-1236-14-	16	14	145362	1981-09-10	Goxhill		65/611 81/889
3823	Mersey	-34-14-12-1236-14-	36	12	154632	1983-07-23	Botus Fleming		62/92 83/709
3824	Trentum	-34-14-12-1236-14-	36	16	165243				70/517 77/49
3825	Sedlescombe	-34-14-12-1236-14-	56	12	f	1959-09-05	Sedlescombe	1996-05-30	59/566 96/710
3826	Walkley	-34-14-12-1236-14-	56	14	164235				06/1246
3827	Hathern	-34-14-12-1236-14-	56	16	l	1960-02-27	Hathern	1999-03-02	60/206 99/293
3828	Sira	-34-14-12-1236-14.1234.	56	12	f				06/60
3829	Marchington	-34-14-12-1236-34-	16	16	134625	1969-04-05	Marchington		69/350
3830	Fyfield	-34-14-12-1236-34-	56	12	136245				62/148
3831	Bobbingworth	-34-14-12-1236-34.1234.	56	12	136245				11/565
3832	Ingatestone	-34-14-12-1236.12-12.	36	12	a				03/81
3833	Carpet Cleaner	-34-14-12-1236.12-12.	56	12	136245				02/877
3834	Crowle	-34-14-12-1236.12-34.	56	12	136245				03/394
3835	Edith Weston	-34-14-12-1236.14-12.	56	12	f	2002-06-22	Edith Weston		02/714
3836	Church Brampton	-34-14-12-1236.14-12.	56	16	l				07/422
3837	Great Creaton	-34-14-12-1236.14-34.	56	12	f	2002-02-22	Great Creaton		02/267
3838	Charles	-34-14-12-1236.14-34.	56	16	l				07/422
3839	Mucking	-34-14-12-1236.34-34.	56	12	136245				09/229
3840	Notton	-34-14-12-36-12-	16	12	165324				
3841	Old Perth	-34-14-12-36-12-	16	14	136524				
3842	Westminster	-34-14-12-36-12-	36	12	a	1952-11-05	Cassington	1996-03-25	52/742 96/494
3843	Luton	-34-14-12-36-12-	56	12	136245	1963-03-16	Ossington		55/573 63/235
3844	Luton Hoo	-34-14-12-36-12.1234.	56	12	136245				11/944
3845	Rampton	-34-14-12-36-14-	16	12	142563	1968-08-03	Warsop		68/637 660
3846	Warsop	-34-14-12-36-14-	16	14	154263				70/163 243
3847	Netherseale	-34-14-12-36-14-	36	12	e	1927-11-26	Anstey (Herts)	1963-05-01	V1/7 27/758 63/356
3848	Annable's London	-34-14-12-36-14-	36	16	h	1927-10-26	Stapleford (Cambs)	1996-03-25	27/694 96/494
3849	Royal Bob	-34-14-12-36-14-	56	14	146325	1974-10-25	Speen		65/577 74/966
3850	Bedford	-34-14-12-36-14-	56	16	146532	1974-12-06	East Woodhay		V6/238 75/9
3851	Norwich	-34-14-12-36-34-	16	16	m	1927-02-16	Wrentham	1980-01-05	27/117 80/143
3852	Rhyl	-34-14-12-36-34-	56	12	136245	1992-12-25	Abingdon, St Nicolas		55/573 93/102
3853	Allendale	-34-14-12-36.12-12.	36	12	a	1957-03-23	Cheddington	1994-01-25	57/213 94/211
3854	Ripley	-34-14-12-36.12-12.	56	12	136245				55/573
3855	Lawford Heath	-34-14-12-36.12-14.	16	16	m				06/1173
3856	Billingley	-34-14-12-36.12-14.	36	16	134625				55/573
3857	Bamborough	-34-14-12-36.12-14.	56	12	f	1956-11-03	Marlborough, St Mary	1998-03-31	56/757 98/441
3858	Potterhanworth	-34-14-12-36.12-14.	56	14	164235				07/198
