Copyright Central Council of Church Bell Ringers, December 2011
Surprise Major methods

No.	Name	Notation	hl	le	lh	fch	Tower bells	Place	Handbells	RW ref

5252	Abbots Bromley	-34-14-12-1236-12-123458-12.56.	18	18	m	BDK	1997-09-27	Abbots Bromley		97/1122 1255
5253	Fryerning	-34-14-12-1238-12-1238-12-	38	12	a	BD	1994-11-20	Great Holland		94/1272
5254	Hobgoblin	-34-14-12-1238-14-58-16-	78	12	d	BDG/c	2009-03-19	Overton		09/406
5255	Hathern	-34-14-12-1238-14-58-16-	78	18	j	BDG/c	1996-03-05	Loughborough Bellfoundry		96/354
5256	Moose	-34-14-12-1238-34-1238-34-	18	18	m	BD	1999-10-10	Gressenhall		99/1042
5257	Cranborne Chase	-34-14-12-16-12-1258-16-	58	18	j	BD	2008-08-09	Cranborne		08/915
5258	Priddy Fair	-34-14-12-16-12-3458-1234-	78	18	l	BD	1995-03-18	Yatton		95/419
5259	Evora	-34-14-12-16-12-58-12-	18	12	e	BD	Spliced			10/842
5260	Broxbourne	-34-14-12-16-12-58.14-14.	78	12	f	BDK	1990-03-24	Broxbourne		90/438
5261	Stretford	-34-14-12-16-12-58.14-14.	78	18	l	BDK	1976-08-24	Stretford		76/802
5262	Eucalyptus	-34-14-12-16-12.34.58-12.34.	18	12	e	BD	Spliced			09/926
5263	Folly Hall	-34-14-12-16-1234-58-1234-	18	18	k	BD	2008-11-29	Northowram		08/1307
5264	Midhopestones	-34-14-12-16-1234-58-56-	18	18	m	BD	2009-09-18	Bolsterstone		09/1023
5265	Gloucestershire	-34-14-12-16-34-58-34-	78	12	f	BD/a	1958-08-15	East Hagbourne	1991-10-27	58/603 658 91/1139
5266	Nantwich	-34-14-12-16-34-58-34-	78	18	l	BD/a	1965-12-13	Edenham		66/11
5267	Fairfield	-34-14-12-16.34-34.58.34-34.	78	12	f	BD/a	1963-07-10	Fairfield		63/521
5268	Goring	-34-14-12-36-12-58.12.56.34.	18	18	m	BDK	1999-04-24	Arundel		70/195 99/533
5269	Annable's London	-34-14-12-36-14-58-16-	58	18	j	BDN/d	1993-03-06	East Molesey		93/519
5270	Norwich City FC	-34-14-12-36-34-3458-14-	38	18	k	BD/d	2011-08-05	Holt		11/870
5271	Clarendon	-34-14-12-36-34-58-14-	18	18	k	BD/c	1926-08-30	Hazel Grove		26/563 567
5272	Three Point Turn	-34-14-12-36.12.34-1238.56-14.	38	18	m	BDFK	Spliced			11/340
5273	Warkworth Castle	-34-14-12-36.14-12.58.16-14.	58	18	m	BDFU/d	2002-06-29	Broadchalke		02/737 831
5274	Westminster	-34-14-12-38-12-38-12-	38	12	a	BD	1975-11-05	Highclere	1981-08-18	75/997 81/871
5275	Eves	-34-14-12-38-12-58-14-	58	12	f	BD/c	1996-07-21	Terling		96/908
5276	Quodlibet	-34-14-12-38-12-58-14-	58	18	l	BD/c	2008-04-15	Leeds, St Anne	1998-02-04	98/188 275 08/524
5277	Alton	-34-14-12-38-14-1258-14-	58	12	f	BDK/d	1983-02-05	Alton (Hants), St Lawrence		80/121 83/184
5278	Love Bug	-34-14-12-38-14-1458-36-	78	18	j	BDE/d	2002-04-06	Bromley	2002-01-19	02/140 480
5279	York Way	-34-14-12-38-14-58-56-	38	18	k	BD/d			2007-01-25	07/217
5280	Erophobia	-34-14-12-38-34-38-16-	78	18	j	BD/Y	1999-03-06	Bromley	1997-10-01	97/1052 99/290
5281	Norwich	-34-14-12-38-34-38-34-	18	18	m	BD	1967-04-08	Staines, St Mary	1978-09-25	67/310 78/915
5282	Watergate	-34-14-12-38-34-58-14-	58	12	f	BD/c	1984-05-08	Woolwich		84/496
5283	Portsmouth	-34-14-12-38-34-58-14-	58	18	l	BD/c	1954-07-07	Fobbing		54/466
5284	Allendale	-34-14-12-38.12-12.38.12-12.	38	12	a	BD	1995-02-11	East Molesey		95/250
5285	Queenhithe	-34-14-12-38.12-14.38.14-12.	38	18	m	BD/ce	1978-09-22	Harrow Weald		78/893
5286	Navesberie	-34-14-12-38.14-12.38-34-	38	18	m	BD/ad	1995-07-21	Haselbech		95/864
5287	Mahoganous	-34-14-12-38.14-14.58.16-14.	78	18	j	BDKM/d	2006-11-08	Grundisburgh		06/1150
5288	Rougemont Castle	-34-14-1256-1238-12-58-12-	18	12	b	BDE	2010-12-09	Huntsham		11/10
5289	Steel City	-34-14-1256-36.12-14.38.16-12.	38	18	m	BDE/c	1994-06-26	Dore		94/738
5290	Wark	-34-14-1256-36.14-12.58.16-14.	58	18	m	DEK/X	1987-08-11	Burton Latimer		87/794
5291	Launceston Castle	-34-14-1256-38-12-3458-34-	18	12	b	BDE/a	2010-05-06	Huntsham		10/545
5292	Enderby	-34-14-1258-16-14-38-14-	38	12	b	DNOT	1964-07-24	Enderby		64/550
5293	Yoicks	-34-14-1258-36-14-38.56-56.	78	12	d	DOT	2003-11-18	Loughborough Bellfoundry		03/1163
5294	Ludlow Castle	-34-14-56-1238-12-123458-1234-	18	12	b	BD/a	2010-07-08	Huntsham		10/762
5295	Tregenna Castle	-34-14-56-1238-12-1258-12-	18	12	b	BD/a	2010-11-25	Huntsham		10/1257
5296	Lulworth Castle	-34-14-56-1238-12-3458-34-	18	12	b	BD/a	2010-10-21	Huntsham		10/1133
5297	Doppler	-34-14-56-36-34-58-56-	18	18	13462857				2003-12-12	04/36
5298	Madrassa	-34-14-56-36.12-14.58-14.36.	18	18	m	BDEK/a	Spliced			08/914
5299	Excalibur	-34-14-56-36.14-12.38.56.12.34.	18	18	m	BD/ac	1992-05-08	Heywood		92/529
5300	Llanstephan Castle	-34-14-56-38-12-123458-34-	18	12	b	BD/a	2010-10-28	Huntsham		10/1157
5301	Llandovery Castle	-34-14-56-38-12-3458-1234-	18	12	b	BD/a	2010-05-20	Huntsham		10/593
5302	Potomac	-34-14-56-38-12-58-12-	18	12	b	BD/a	1995-07-04	Washington, DC, Old Post Office		95/791 971
5303	Yukon	-34-14-56-38-12-58-12-	18	18	g	BD/a	1997-11-25	Loughborough Bellfoundry		98/10
5304	Manorbier Castle	-34-14-56-38-34-58-34-	18	12	b	D/a	2010-11-04	Huntsham		10/1181
5305	Shanklin	-34-14-58-1236-14-38.16-16.	38	18	m	DGO/c	1990-05-25	Meldreth		88/441 90/606
5306	Margidunum	-34-14-58-16-12-1258-34-	38	18	m	D/ac	1977-04-10	Cleckheaton		77/386
5307	St Dunstan's	-34-14-58-16-12-3458-12-	38	18	m	D/c	1988-05-21	Hunsdon		88/574 663
5308	Xyster	-34-14-58-16-12-38-16-	38	12	f	DO/c	1988-07-07	Leicester, St Mary de Castro		88/752 793
5309	Openwoodgate	-34-14-58-16-12-58-34-	38	18	m	D/ac	1990-03-24	Belper		90/400
5310	Brinklow	-34-14-58-16-14-38.14.56.14.	38	18	k	DO/cd	1951-11-24	Willesden		51/802 53/317
5311	Redyng	-34-14-58-16-14-58-36-	58	18	h	DGO/c	2001-12-09	Reading, St Mary		02/33
5312	Middlestown	-34-14-58-16-34-1258-12-	38	18	m	D/ac	1985-06-22	Thornhill		85/628
5313	Long Eaton	-34-14-58-16-34-1458-34-	18	18	m	D/ac	1967-04-29	Long Eaton		67/345
5314	Ilminster	-34-14-58-16-34-38-16-	78	12	d	D/acY	1964-04-20	Sutterton		64/422
5315	Stanmore	-34-14-58-16-34-38-16-	78	18	j	D/acY	1950-07-22	Stanmore		50/483 496
5316	Merryhill	-34-14-58-16-34-58-12-	18	18	13462857		1983-05-05	Bushey		83/450
5317	Killamarsh	-34-14-58-16-34-58-12-	38	18	m	D/ac	1936-04-18	Wath-on-Dearne		36/269
5318	Endangered Spaces	-34-14-58-16-34-58-16-	38	12	f	D/acZ	1996-10-13	Drayton (Oxon)		96/1104 97/103
5319	Edmonton	-34-14-58-16-34-58-16-	38	18	l	D/acZ	1952-04-12	Edmonton		52/259 359
5320	Morden	-34-14-58-16-34-58.16-16.	38	12	b	D/acZ	1984-11-24	Harrow Weald		84/1104 85/168
5321	Queensland	-34-14-58-16-34-58.16-16.	38	18	g	D/acZ	1955-07-14	Willesden		55/467 478
5322	Combretovium	-34-14-58-16.34-14.38.14.36.14.	58	18	m	D/acef	1979-12-29	Mytholmroyd		80/95
5323	Navio	-34-14-58-16.34-14.58-14-	38	18	m	D/ace	1977-12-31	Conisbrough		78/104
5324	Vernalis	-34-14-58-16.34-34.1258-34-	38	18	m	D/ac	1988-05-07	Farnworth-with-Kearsley		88/531
5325	Spinis	-34-14-58-16.34-34.1258.34-12.	38	18	m	D/ac	1978-03-11	Greasley		78/290
5326	Bravonium	-34-14-58-16.34-34.58-34-	38	18	m	D/ac	1978-08-12	Huntington		78/778
5327	Gloucester	-34-14-58-36-12-58-34-	18	18	m	BD/c	1897-06-17	Gloucester, St Michael	1963-06-18	BN V16/103 RW 63/460
5328	Samaritan	-34-14-58-36-14-1258-14-	38	18	m	DN/ce	2004-07-24	Harthill		04/781
5329	Isley Walton	-34-14-58-36-34-1258-16-	38	12	f	DO/c	1998-08-04	Loughborough Bellfoundry		98/869
5330	Jod	-34-14-58-36-34-1458-34-	38	18	m	D/ac	1979-11-16	Bristol Cathedral		79/1085
5331	Bingley	-34-14-58-36-34-38-14-	58	12	f	D/c	1993-11-03	Leeds, St Anne		93/1170
5332	Gloucester and Bristol	-34-14-58-36.14-14.58-14-	18	18	m	DN/c			2002-06-06	02/714
5333	Brigantia	-34-14-58-38-12-1258.36.12-	18	18	m	BD/cf	1978-04-15	Rothwell (Yorks)		78/399
5334	Habitancum	-34-14-58-38-12-58.16-12.	38	18	m	BD/cZ	1981-01-31	Balderton		81/191
5335	Lothario	-34-14-58-38.14-14.38-14-	18	18	l	DFN/c	Spliced			08/37
5336	Segedunum	-34-14.58-12.36-14-1458-14-	38	18	m	BDK/c	1981-03-21	Dore		81/347
5337	Moridunum	-34-14.58-12.36-14-58.14-14.	38	18	m	BDK/c	1978-11-18	Whitworth		78/1105
5338	Ulladulla	-34-14.58-12.36.12-12.58.14-12.	38	18	m	BDK/c	2003-09-02	Burton Latimer		03/902
5339	Carnonacae	-34-14.58-12.36.12-14.58.34-14.	38	18	m	BD/cd	1994-09-10	Sprotborough		94/1026
5340	Jada	-34-14.58-12.36.14-14.38.16.34.16.	58	18	m	BDK/c	1981-07-25	Elveden		81/851
5341	Cardiff	-34-14.58-12.36.14-14.58-14-	38	18	m	BDK/c	1959-03-05	Willesden	1996-08-07	59/183 96/1084
5342	Augusta	-34-14.58-12.38-14-1458-14.36.	58	18	m	BDK/cZ	1983-11-05	Birstall (Yorks)		83/997
5343	Jasper	-34-14.58-12.38-14-38.16-14.	38	18	m	BDIK/cd	1998-01-14	Barrow Gurney		98/109
5344	Erasipteron Bolsoveri	-34-14.58-12.38-34-1458-12.36.	18	18	m	BD/ac	1978-04-29	Bolsover		78/443
5345	Marlborough Street	-34-14.58-12.38-34-1458.36-34.	78	12	f	BDE/ac	Spliced			03/226
5346	Bannovalium	-34-14.58-12.38-34-1458.36.12-	18	18	m	BD/ac	1995-11-04	Batley		95/1254
5347	Ure	-34-14.58-12.38.12-14.38.14-1256.	38	18	m	BDK/c	1996-03-30	Rothwell (Yorks)		96/467
5348	Orcades	-34-14.58-12.38.12-14.38.14.56.12.	38	18	m	BD/c	1979-03-03	Eastwood (Notts)		79/288
5349	Adron	-34-14.58-12.38.12-14.58-34.16.	38	18	m	BDE/c	1995-02-25	Birstall (Yorks)		95/328
5350	Singapore	-34-14.58-12.38.12-14.58.34.56.14.	38	18	m	BCD/ce	2000-08-08	Burton Latimer		00/965
5351	Congavata Aballava	-34-14.58-12.38.14-12.58-14.36.	18	18	m	BDKN/cd	1983-07-16	Birstall (Yorks)		83/650
5352	Lugovalium	-34-14.58-12.38.14-12.58.16-14.	58	18	m	BDEK/cX	1977-03-05	Heptonstall		77/299
5353	Whitemoor	-34-14.58-12.38.14-14.58-14.36.	58	18	m	BDK/cZ	1989-08-26	Aspley (Notts)		89/865
