Copyright Central Council of Church Bell Ringers, December 2011
Treble Bob Minor methods

No.	Name	Notation	hl	le	lh	Tower bells	Place	Handbells	RW ref

15350	Oxford	-34-16-12-16-12-	16	16	m	1821-01-03	Garboldisham	1930-12-31	31/23
15351	Morning Pleasure	-34-16-12-16-12-	36	14	146325				65/483
15352	Snowdrop	-34-16-12-16-12-	36	16	146532				55/572
15353	Duke of Norfolk	-34-16-12-16-12-	56	12	e	1959-08-15	Chapel-en-le-Frith	1965-08-16	59/515 65/713
15354	Sandal	-34-16-12-16-12-	56	16	h	1958-10-25	Binfield	1963-03-20	58/737 63/252
15355	Upton Towans	-34-16-12-16-12.1234.	56	12	e				02/1062
15356	Rochester	-34-16-12-16-14-	16	12	f	2011-11-12	Damerham	1965-09-27	65/713 11/1210
15357	Cressbrook	-34-16-12-16-14-	16	14	164235				10/396
15358	Burton	-34-16-12-16-14-	16	16	l	1978-05-27	Burton-upon-Trent, All Saints	1965-07-23	65/617 78/562
15359	College Youths' Pleasure	-34-16-12-16-14-	36	16	134625	1972-03-15	Speen		55/572 72/299
15360	Morning Star	-34-16-12-16-34-	16	12	a	1970-08-12	Eyam	1965-10-03	65/824 70/696
15361	Nutfield	-34-16-12-16-34-	36	12	165324	1961-06-17	Nutfield		61/434
15362	College Pleasure	-34-16-12-16-34-	36	14	136524				65/246
15363	College Exercise	-34-16-12-16-34-	56	12	e	1957-01-03	Silsoe	1965-08-20	57/68 65/713
15364	London Scholars' Pleasure	-34-16-12-16-34-	56	16	h	1951-10-27	South Normanton	1965-07-16	51/710 65/569
15365	Xylophone	-34-16-12-16-34.1234.	56	12	e				01/618
15366	Upham	-34-16-12-16-34.1234.	56	16	h				08/1162
15367	Miothesic	-34-16-12-16.12-12.	56	12	e				02/322
15368	Oligothesic	-34-16-12-16.12-34.	56	12	e				01/907
15369	Pleistothesic	-34-16-12-16.12.1234.34.	56	12	e				03/422
15370	Pliothesic	-34-16-12-16.1234.12-	56	12	e				03/543
15371	Eothesic	-34-16-12-16.1234.34-	56	12	e				04/596
15372	Xenothesic	-34-16-12-16.1234.34.1234.	56	12	e				01/808
15373	Western Enterprise	-34-16-12-16.14-14.	56	12	e				02/801
15374	Ascension Day	-34-16-12-16.34-12.	36	12	165324	1976-05-27	Beedon		70/496 76/541
15375	Ockley	-34-16-12-16.34-12.	56	12	e	1962-08-25	Ockley	1965-08-23	62/603 65/713
15376	Capel	-34-16-12-16.34-12.	56	16	h	1962-08-25	Capel	1965-07-24	62/602 65/617
15377	Beaufort	-34-16-12-16.34-14.	36	14	145362	1971-03-06	Wollaton		71/269
15378	Drayton	-34-16-12-16.34-14.	56	12	154632				
15379	Cawthorne	-34-16-12-16.34-14.	56	16	165243				55/572
15380	Tuxford	-34-16-12-16.34-34.	16	14	145362				83/410
15381	Norbury	-34-16-12-16.34-34.	56	12	e	1963-07-08	Chapel-en-le-Frith	1965-09-20	V3/54 63/521 65/713
15382	Kingston	-34-16-12-16.34-34.	56	16	h	1958-05-24	Biddulph	1965-07-19	V3/160 58/361 65/617
15383	Holothesic	-34-16-12-16.34.1234.12.	56	12	e				03/1028
15384	Quasithesic	-34-16-12-16.34.1234.34.	56	12	e				04/163
15385	Moidart	-34-16-1256-16-12-	56	14	146325				06/428
15386	Nevis	-34-16-1256-16-14-	56	12	136245				06/428
15387	Coe	-34-16-1256-16-34-	56	14	146325				05/431
15388	Dessary	-34-16-1256-16.34-12.	56	14	146325				05/431
15389	Orchy	-34-16-1256-16.34-14.	56	14	164235				06/428
15390	Etive	-34-16-1256-16.34-34.	56	14	146325				05/431
15391	Ash Priors	-34-16-56-16-12-	16	12	b				74/777
15392	Badgeworth	-34-16-56-16-12-	16	16	g				75/133
15393	Luston	-34-16-56-16-12-	36	12	154632	1986-06-07	Eye (Herefords)		86/631
15394	Pentland	-34-16-56-16-12-	36	16	165243				97/382
15395	Exford	-34-16-56-16-12-	56	12	f				74/797
15396	College	-34-16-56-16-12-	56	16	l				
15397	Eye	-34-16-56-16-14-	16	12	e	1985-07-08	Eye (Herefords)		85/601 706
15398	Yorkshire Glory	-34-16-56-16-14-	16	16	h	1976-08-20	East Woodhay		73/878 76/777
15399	Ipstones	-34-16-56-16-14-	36	14	152643				03/644
15400	Albion	-34-16-56-16-14-	56	12	136245				
15401	Rodney's Victory	-34-16-56-16-34-	16	12	a				65/577
15402	Noah's Ark	-34-16-56-16-34-	36	14	162534				65/499
15403	Selworthy	-34-16-56-16-34-	56	12	f				74/797
15404	Kalamazoo	-34-16-56-16-34-	56	16	l				80/171
15405	Porlock	-34-16-56-16.34-12.	56	12	f				74/797
15406	Pinhoe	-34-16-56-16.34-12.	56	16	l				87/294
15407	Foula	-34-16-56-16.34-14.	56	14	146325				04/1190
15408	New Snowdrop	-34-16-56-16.34-34.	16	14	145362				
15409	Old Cleeve	-34-16-56-16.34-34.	56	12	f				74/797
15410	Clwydian	-34-16-56-16.34-34.	56	16	l				94/690
