Copyright Central Council of Church Bell Ringers, December 2011
Treble Place Minor methods
(treble's path 1 1    2 2    3  4 3  4 5  6 5  6 6)

No.	Name	Notation	hl	le	lh	RW ref

16627	Blaxhall	1234-1234.16-12-16-12-	16	16	m	06/694

Treble Place Minor methods
           (treble's path 1 2  1  2  3  3    4  4    5    6  5  6  6)

No.	Name	Notation	hl	le	lh	Tower bells	Place	RW ref

16628	Double Oxford	-34-16.34-34.16-34-	56	12	154632			90/244
16629	Brafield-on-the-Green	-36-14.1234-1234.16-12-	56	12	b	2009-05-16	Brafield-on-the-Green	09/588
16630	Stoke Albany	-36-14.1234-1234.16-34-	56	12	b	2001-06-17	Stoke Albany	01/686
16631	Fudge	-36-14.3456.12.3456.36-14-	56	12	b			04/495
16632	Trifle	-36-14.3456.12.3456.36-14-	56	14	135642			04/495
16633	Lowick	34-34.16.1234-1234.1236.14-34.	56	12	b	2001-08-10	Lowick	01/878
16634	The Standard Tandoori	36-34.16.1236-1234.16.34-14.	56	12	a			07/271

Treble Place Minor methods
     (treble's path 1 2  1  2  3    4  3  4  5    5    6 6    6)

No.	Name	Notation	hl	le	lh	Tower bells	Place	RW ref

16635	Pretyman Avenue	-34-1456-12-36.1256-1256.	56	12	a			10/70
16636	Why are there no aspirins in the jungle? Because the paracetamol	-36-14-12-36.1456-1256.	56	12	b			02/520
16637	Wightman	-36-14-12-36.1456-1256.	56	14	135642			04/495
16638	IWD's Bus Pass	-36-14-12-36.1456-3456.	56	12	b			02/520
16639	Otley	-36-14-12-36.1456-3456.	56	14	135642			04/495
16640	Otley Gotch	-36-14.12-12.1236.1456-1256.	56	12	b			04/495
16641	Forget-me-not	-36-14.12-12.1236.1456-1256.	56	14	135642			04/495
16642	White Hart	-36-14.12-12.1236.1456-3456.	56	12	b			04/495
16643	Shrubbery Farm	-36-14.12-12.1236.1456-3456.	56	14	135642			04/495
16644	Warmington	34-34.16.12-12.1236.1456-1456.	16	12	a	2001-07-25	Warmington	01/829

Treble Place Minor methods
               (treble's path 1 2  1  2    3    4  3  4  5    6  6    5    5)

No.	Name	Notation	hl	le	lh	Tower bells	Place	RW ref

16645	Shaun the Sheep	-34-14-12-1236-1256-	56	12	136245	2009-03-22	Weston under Penyard	02/435 09/357
16646	Potterhanworth	-34-14-12-1236-1456-	56	12	f			09/953
16647	Stirling	-34-14-12-1236-1456-	56	16	l	2006-04-22	Stirling	06/450
16648	Gromit	-34-14-12-1236-3456-	56	12	136245			01/1200
16649	Nocton	-34-14-12-16-1236-	56	16	134625			09/953
16650	Aggies	-34-14-12-16-1256-	56	12	f			89/444
16651	Neasden	-34-14-12-16-1256-	56	16	l			82/741
16652	Blackwood	-34-14-12-16-1456-	56	12	136245			10/91
16653	College Bob IV	-34-14-12-16-3456-	56	12	f			97/546 623
16654	St Albans	-34-14-12-16-3456-	56	16	l			97/547 623
16655	Romsey	-34-14-12-16.34.1256.34.	56	12	f			82/884
16656	Reynards	-34-14-12-16.34.1256.34.	56	16	l			97/743 808
16657	Luton	-34-14-12-36-1256-	56	12	136245			00/205
16658	Austin	-34-14-12-36-1456-	56	14	146325			10/89
16659	Tiny Pants	-34-14-12-36-1456-	56	16	146532			05/1195
16660	Wallace	-34-14-12-36-3456-	56	12	136245			01/1200
16661	Castle of Mey	-34-14-12-36.12.3456.12.	56	12	136245			02/953
16662	Collins	-34-14-56-1236-1256-	56	12	a			00/603 627
16663	Apollo	-34-14-56-1236-3456-	56	12	a			02/829
16664	Annapurna II	-34-14-56-16-1236-	56	16	m			03/1005
16665	Armstrong	-34-14-56-36-1256-	56	12	a			02/627
16666	Redding	-34-14-56-36-3456-	56	12	a			02/829
16667	Asteroid	-34-14-56-36.12.3456.12.	56	12	a			02/901
16668	DJPJ	-34-1456-12-1236-1256-	56	12	a			02/435
16669	Pixie	-34-1456-12-1236-1456-	56	12	142563			10/89
16670	Poolio	-34-1456-12-1236-3456-	56	12	a			02/435
16671	Kim	-34-1456-12-16-1236-	56	16	134625			03/422
16672	Bowmore	-34-1456-12-16-1256-	56	12	142563			10/91
16673	Banff	-34-1456-12-16-1456-	56	12	a			10/91
16674	Braeval	-34-1456-12-16-3456-	56	12	142563			10/91
16675	RTF	-34-1456-12-36-1256-	56	12	a			02/435
16676	Gruzzles	-34-1456-12-36-1456-	56	14	145362			10/89
16677	Reef	-34-1456-12-36-3456-	56	12	a			02/435
16678	Isle of Stroma	-34-1456-12-36.12.3456.12.	56	12	a			02/953
16679	Church Lawford	-34-1456-56-1236-1256-	56	12	136245			02/829
16680	Wolford	-34-1456-56-1236-3456-	56	12	136245			02/772 877
16681	Warlergh Nankervis	-34-1456-56-16-1236-	56	16	m			02/1240
16682	Welford	-34-1456-56-16-1256-	56	16	146532			03/1005
